subject,run,n,CEN,DMN,PDA
dmnelf001,1,95,0.3632472978001464,0.26781051114823917,0.30377831975550695
dmnelf001,2,95,0.21010811208374794,0.2534720573769378,0.36506012781507124
dmnelf001,3,95,0.2128633779335294,0.3593720000303154,0.025388658016803654
dmnelf001,4,95,-0.03873068961367261,0.29160318018465753,0.28554328976526666
dmnelf002,1,95,0.1702766741787377,-0.004323897610681344,0.08477532647017001
dmnelf002,2,95,0.37700544948067244,0.5307437051995116,-0.4028393855960621
dmnelf002,3,95,0.054950662523828346,-0.0276817018110688,-0.0352599728958868
dmnelf002,4,95,0.11623545689586097,0.19002764017878773,-0.1098658808984181
dmnelf003,1,95,0.145791713132664,0.24476330166319193,0.21888072904395112
dmnelf003,2,95,0.0005832127086540641,0.22478603634751143,0.163878230793141
dmnelf003,3,95,0.18347534881581654,0.23570989003431794,0.08259784438395112
dmnelf003,4,95,0.17917322136244154,0.16756026948757316,0.11221273762504412
dmnelf004,1,95,0.109245466586344,0.23494551666634633,0.1901708067022908
dmnelf004,2,95,-0.19246557771463063,-0.05970183767655825,0.011807670671692897
dmnelf004,3,95,0.025240447280260772,-0.02592266107343193,0.031155781251702774
dmnelf004,4,95,0.22393525250982557,0.34567957104677205,0.32769803249011314
dmnelf005,1,95,0.4014814946340695,0.5138804338530572,0.35079743782798056
dmnelf005,2,95,0.29477467126839046,0.3597127217817333,0.31679089415285216
dmnelf005,3,95,0.13174869033366385,0.2952419784137147,0.3503638006166967
dmnelf005,4,95,0.4260212572147319,0.08520707351281837,0.5763931327701354
dmnelf006,1,95,0.05074757762073996,0.3478705859972587,0.05182742391560915
dmnelf006,2,95,0.1254857888722794,0.23930536953584222,0.13041129950180821
dmnelf006,3,95,0.30577579040966013,0.13822905952067285,0.18708674342042717
dmnelf006,4,95,0.18561115963732905,0.378225864587868,0.1603859048990825
dmnelf007,1,95,-0.04092316096103283,0.33802618961693875,-0.07341576990539879
dmnelf007,2,95,0.16359228367815776,0.228219154924729,0.056118332735772325
dmnelf007,3,95,0.2424106279286706,0.2406394986671881,0.29754687240893546
dmnelf007,4,95,0.3875252079910704,0.40102766933627315,0.5715007582280334
dmnelf008,1,95,0.31438345317493277,0.2731890781821968,0.44244598160713905
dmnelf008,2,95,-0.09515406699534568,0.3218759167442647,0.36974693268198383
dmnelf008,3,95,0.19664030167111604,0.3436396482549223,0.4586815798646475
dmnelf008,4,95,0.4413089282962966,0.1698506063812119,0.38170730149412946
dmnelf009,1,95,0.25352847773188997,0.21486808755088455,0.29151392737716564
dmnelf009,2,95,0.11978558490047483,0.2706866165660846,0.09183554849507353
dmnelf009,3,95,0.010363573938185188,0.192611434292301,0.19617308860980107
dmnelf009,4,95,0.20519437904811083,0.14644212062991724,0.13498499138107886
dmnelf010,1,95,0.21336061299900932,0.45848300724017377,0.3614478714645705
dmnelf010,2,95,0.17562130685641344,0.2742789370623087,0.279657833224784
dmnelf010,3,95,0.0583376937486948,0.17859054952874837,0.18371916588713968
dmnelf010,4,95,0.2213734736294213,0.21387918392306277,0.07402013664657887
dmnelf011,1,95,0.45362732681530704,0.2433858559148554,0.13123050404431275
dmnelf011,2,95,0.281131801922515,0.3051908691706551,0.2108608562632419
dmnelf011,3,95,0.3124163947613274,0.2089700547664922,0.31367014915703995
dmnelf011,4,95,0.18710710635520536,0.3071284634844815,0.11666150934562913
dmnelf012,1,95,0.22142176371271574,0.3133386359314394,0.20703165769158127
dmnelf012,2,95,0.2146780751694946,0.6009609130446891,0.2602556266594972
dmnelf012,3,95,-0.03265829649146078,0.2155178891123994,0.22016955871744467
dmnelf012,4,95,0.23911626295140004,0.37246613322211025,0.27438612461145834
dmnelf013,1,95,0.11481813174816885,0.27195346543664556,0.004463145989016597
dmnelf013,2,95,0.20654049268061342,0.15246912334068594,0.24688527352647766
dmnelf013,3,95,0.060439355284721184,0.2354957477446749,0.13736119452639922
dmnelf013,4,95,0.189502703347189,0.2463381237832707,0.13699034589545087
dmnelf014,1,95,0.18859553288205433,0.08756880713300425,0.07701882247443112
dmnelf014,2,95,0.2680494308169793,0.23583517043811028,0.2804706912454579
dmnelf014,3,95,0.4223237854988936,0.44239524784187284,0.27970003423624346
dmnelf014,4,95,0.22767927149227926,0.2429527277674554,0.20421606985153554
dmnelf015,1,95,0.08821834292672129,0.24814610936966985,0.04264060117091109
dmnelf015,2,95,0.3607150661058362,0.1966465659827686,0.042496420011185664
dmnelf015,3,95,0.3374113015469581,0.38232448092243015,0.2600520288417692
dmnelf015,4,95,0.12329297261358,0.061600338300449066,-0.015023198412058288
dmnelf016,1,95,0.03503718694165605,0.2680031358020443,0.12872431826731232
dmnelf016,2,95,-0.015500135053582964,0.3034954235110187,0.16086515677895144
dmnelf016,3,95,0.4062106392986261,0.15751032000609805,0.003104607117010811
dmnelf016,4,95,0.2950660977006991,0.21436562144062296,0.35289732193418
dmnelf1001,1,95,0.2362229857704788,0.27689965710080755,0.34561348537724973
dmnelf1001,2,95,0.13153431071060595,0.12640977459496394,0.34007639068613593
dmnelf1001,3,95,0.2777075910363718,0.3686443935333458,0.3825759019353429
dmnelf1001,4,95,0.15285377569579478,0.16367125839811306,0.2887038335774371
dmnelf1002,1,95,-0.026466498842664256,0.31923992300112736,-0.20310399280139985
dmnelf1002,2,95,-0.06732638226744035,0.18480797497554075,0.04023442605775741
dmnelf1002,3,95,0.0214005180873934,0.16134282581113404,0.09050315443099292
dmnelf1002,4,95,-0.11301391363022122,0.20171381546854342,0.08043038365981554
dmnelf1003,1,95,0.01605600467688974,0.17383285242745303,0.3250344683965518
dmnelf1003,2,124,0.30723995929662146,0.2856924023229685,0.3486457136552515
dmnelf1003,3,105,-0.11161445429066251,0.26800975294879265,0.38890744816893846
