montage,n_ch,target,held_out,alpha,r
Fp1,1,CEN,dmnelf001,100000000.0,0.25629722405821875
Fp1,1,CEN,dmnelf002,100000000.0,0.14922327918894482
Fp1,1,CEN,dmnelf003,100000000.0,-0.14948426247207
Fp1,1,CEN,dmnelf004,100000000.0,0.14362187435531976
Fp1,1,CEN,dmnelf005,100000000.0,0.16269593426719348
Fp1,1,CEN,dmnelf006,100000000.0,0.05516928164526154
Fp1,1,CEN,dmnelf007,100000000.0,-0.05848134357335888
Fp1,1,CEN,dmnelf008,100000000.0,0.17980372069972464
Fp1,1,CEN,dmnelf009,100000000.0,0.14250651858131252
Fp1,1,CEN,dmnelf010,100000000.0,0.0897189405028722
Fp1,1,CEN,dmnelf011,100000000.0,0.1672962359126324
Fp1,1,CEN,dmnelf012,100000000.0,0.035875454119615305
Fp1,1,CEN,dmnelf013,100000000.0,0.05121489335854662
Fp1,1,CEN,dmnelf014,100000000.0,0.05364200998339427
Fp1,1,CEN,dmnelf015,100000000.0,0.16472820991771736
Fp1,1,CEN,dmnelf016,100000000.0,0.07956800990612764
Fp1,1,CEN,dmnelf1001,100000000.0,0.1431870108753598
Fp1,1,CEN,dmnelf1002,100000000.0,-0.09128004862483678
Fp1,1,CEN,dmnelf1003,100000000.0,0.08168382421780988
Fp1,1,DMN,dmnelf001,100000000.0,0.13432006254176296
Fp1,1,DMN,dmnelf002,100000000.0,0.07792497962816253
Fp1,1,DMN,dmnelf003,100000000.0,-0.030033330261828108
Fp1,1,DMN,dmnelf004,100000000.0,0.0031634617122655037
Fp1,1,DMN,dmnelf005,100000000.0,0.11533043804607783
Fp1,1,DMN,dmnelf006,100000000.0,0.01978732027218418
Fp1,1,DMN,dmnelf007,100000000.0,-0.10825236648743147
Fp1,1,DMN,dmnelf008,46415.888336127726,-0.04955129684388129
Fp1,1,DMN,dmnelf009,100000000.0,0.0419467015025939
Fp1,1,DMN,dmnelf010,46415.888336127726,0.1622923635565881
Fp1,1,DMN,dmnelf011,1.0,-0.07071009559309703
Fp1,1,DMN,dmnelf012,10000.0,-0.03657496803771465
Fp1,1,DMN,dmnelf013,100000000.0,-0.08750508977926262
Fp1,1,DMN,dmnelf014,100000000.0,-0.2923605616487834
Fp1,1,DMN,dmnelf015,100000000.0,-0.07241263017914781
Fp1,1,DMN,dmnelf016,100000000.0,0.04946540237896419
Fp1,1,DMN,dmnelf1001,100000000.0,0.10731035300554881
Fp1,1,DMN,dmnelf1002,100000000.0,0.010756957998568035
Fp1,1,DMN,dmnelf1003,100000000.0,0.15424431361582244
Fp1,1,PDA,dmnelf001,1.0,0.016456747224001034
Fp1,1,PDA,dmnelf002,1.0,0.058688288244013564
Fp1,1,PDA,dmnelf003,1.0,-0.037778597106415394
Fp1,1,PDA,dmnelf004,1.0,-0.23638657259561238
Fp1,1,PDA,dmnelf005,1.0,0.12126541521694943
Fp1,1,PDA,dmnelf006,1.0,0.11731250127899213
Fp1,1,PDA,dmnelf007,1.0,0.1508848524224406
Fp1,1,PDA,dmnelf008,1.0,0.04388253942481751
Fp1,1,PDA,dmnelf009,1.0,0.07286660737541746
Fp1,1,PDA,dmnelf010,1.0,0.10301195149952903
Fp1,1,PDA,dmnelf011,1.0,0.11505914227704059
Fp1,1,PDA,dmnelf012,1.0,0.20646565592928634
Fp1,1,PDA,dmnelf013,1.0,-0.28158375674416497
Fp1,1,PDA,dmnelf014,1.0,0.1666269406294348
Fp1,1,PDA,dmnelf015,1.0,0.20084167056444882
Fp1,1,PDA,dmnelf016,1.0,-0.10050557055183386
Fp1,1,PDA,dmnelf1001,1.0,0.22596236864703031
Fp1,1,PDA,dmnelf1002,1.0,-0.10270867851562955
Fp1,1,PDA,dmnelf1003,1.0,-0.024234761279766273
Fp2,1,CEN,dmnelf001,100000000.0,0.13342817367014542
Fp2,1,CEN,dmnelf002,100000000.0,0.1463215822969585
Fp2,1,CEN,dmnelf003,100000000.0,-0.14060496270831646
Fp2,1,CEN,dmnelf004,464158.8833612772,0.1981519782599198
Fp2,1,CEN,dmnelf005,100000000.0,0.1881539467914282
Fp2,1,CEN,dmnelf006,100000000.0,0.17747451690922023
Fp2,1,CEN,dmnelf007,100000000.0,0.1921568123751874
Fp2,1,CEN,dmnelf008,100000000.0,0.25218881738203675
Fp2,1,CEN,dmnelf009,100000000.0,0.14610457447071962
Fp2,1,CEN,dmnelf010,100000000.0,0.04207597264973309
Fp2,1,CEN,dmnelf011,100000000.0,0.2297330531774901
Fp2,1,CEN,dmnelf012,1000000.0,0.012833802154502956
Fp2,1,CEN,dmnelf013,100000000.0,0.1205198459543241
Fp2,1,CEN,dmnelf014,100000.0,0.16758115560245587
Fp2,1,CEN,dmnelf015,100000.0,0.21886915444208996
Fp2,1,CEN,dmnelf016,100000000.0,0.020911664336712942
Fp2,1,CEN,dmnelf1001,100000000.0,0.05621462233123016
Fp2,1,CEN,dmnelf1002,100000000.0,-0.08341837877366656
Fp2,1,CEN,dmnelf1003,100000000.0,0.07349566333282702
Fp2,1,DMN,dmnelf001,100000000.0,0.07632499438648414
Fp2,1,DMN,dmnelf002,100000000.0,0.16610916049332522
Fp2,1,DMN,dmnelf003,100000000.0,-0.08454011307602602
Fp2,1,DMN,dmnelf004,10.0,0.05048523940188114
Fp2,1,DMN,dmnelf005,100000000.0,0.10280655608866379
Fp2,1,DMN,dmnelf006,46.41588833612777,0.045578849359227534
Fp2,1,DMN,dmnelf007,46.41588833612777,0.08269450960323277
Fp2,1,DMN,dmnelf008,46.41588833612777,0.08990012043938743
Fp2,1,DMN,dmnelf009,10.0,0.024272738687963133
Fp2,1,DMN,dmnelf010,21.544346900318832,0.12873346485683804
Fp2,1,DMN,dmnelf011,1.0,0.1465265289676333
Fp2,1,DMN,dmnelf012,100.0,0.14180696271126766
Fp2,1,DMN,dmnelf013,100.0,0.11374720316661793
