montage,n_ch,target,held_out,alpha,r
Fp1,1,CEN,dmnelf001,100.0,-0.058462895773862725
Fp1,1,CEN,dmnelf002,100.0,0.010418417532160152
Fp1,1,CEN,dmnelf003,100.0,0.07419268803399788
Fp1,1,CEN,dmnelf004,215.44346900318823,-0.02246320070164387
Fp1,1,CEN,dmnelf005,215.44346900318823,0.22864884030550162
Fp1,1,CEN,dmnelf006,464.15888336127773,-0.10606058256060552
Fp1,1,CEN,dmnelf007,1000.0,-0.07153914222045808
Fp1,1,CEN,dmnelf008,100000000.0,0.09729215569692638
Fp1,1,CEN,dmnelf009,464.15888336127773,0.024954344616985553
Fp1,1,CEN,dmnelf010,100.0,0.11962649546871992
Fp1,1,CEN,dmnelf011,100000000.0,0.20250001141158433
Fp1,1,CEN,dmnelf012,100.0,0.06668328384069762
Fp1,1,CEN,dmnelf013,215.44346900318823,-0.0019093346051172041
Fp1,1,CEN,dmnelf014,215.44346900318823,0.03884671248479868
Fp1,1,CEN,dmnelf015,215.44346900318823,0.016021818454323853
Fp1,1,CEN,dmnelf016,215.44346900318823,0.03816451145487928
Fp1,1,CEN,dmnelf1001,100.0,0.11261800176057842
Fp1,1,CEN,dmnelf1002,100000000.0,-0.21056146130101938
Fp1,1,CEN,dmnelf1003,100.0,0.034468567923762274
Fp1,1,DMN,dmnelf001,100000000.0,-0.017938231506433762
Fp1,1,DMN,dmnelf002,100000000.0,-0.05421563749695582
Fp1,1,DMN,dmnelf003,100000000.0,0.05178923877163469
Fp1,1,DMN,dmnelf004,100000000.0,0.011825625505251638
Fp1,1,DMN,dmnelf005,100000000.0,0.06746296042165711
Fp1,1,DMN,dmnelf006,100000000.0,0.09375339077198111
Fp1,1,DMN,dmnelf007,100000000.0,-0.023634433104377173
Fp1,1,DMN,dmnelf008,100000000.0,-0.04926710077501503
Fp1,1,DMN,dmnelf009,100000000.0,0.09715641373902627
Fp1,1,DMN,dmnelf010,100000000.0,0.05225846919867001
Fp1,1,DMN,dmnelf011,100000000.0,-0.03343651132878448
Fp1,1,DMN,dmnelf012,100000000.0,-0.06687511497868859
Fp1,1,DMN,dmnelf013,100000000.0,0.05650219121842822
Fp1,1,DMN,dmnelf014,100000000.0,-0.03841358525062472
Fp1,1,DMN,dmnelf015,100000000.0,-0.012165675461391143
Fp1,1,DMN,dmnelf016,100000000.0,-0.0008110269763314019
Fp1,1,DMN,dmnelf1001,100000000.0,0.011226753386240285
Fp1,1,DMN,dmnelf1002,100000000.0,-0.12278277179548872
Fp1,1,DMN,dmnelf1003,100000000.0,-0.016091980103636026
Fp1,1,PDA,dmnelf001,21.544346900318832,0.019360503760471468
Fp1,1,PDA,dmnelf002,46.41588833612777,-0.036263021184513966
Fp1,1,PDA,dmnelf003,46.41588833612777,0.09356404628017838
Fp1,1,PDA,dmnelf004,46.41588833612777,-0.05449385898498613
Fp1,1,PDA,dmnelf005,100.0,0.22972376046434462
Fp1,1,PDA,dmnelf006,215.44346900318823,0.13614357245306788
Fp1,1,PDA,dmnelf007,215.44346900318823,0.1359920857973352
Fp1,1,PDA,dmnelf008,100.0,0.1691401613807985
Fp1,1,PDA,dmnelf009,46.41588833612777,0.0454631130722635
Fp1,1,PDA,dmnelf010,100.0,0.1768391820927766
Fp1,1,PDA,dmnelf011,100.0,0.09560320411972194
Fp1,1,PDA,dmnelf012,100.0,0.054170675870798664
Fp1,1,PDA,dmnelf013,215.44346900318823,-0.08460968705219013
Fp1,1,PDA,dmnelf014,100.0,0.11734749097492067
Fp1,1,PDA,dmnelf015,100.0,-0.029009405260472444
Fp1,1,PDA,dmnelf016,100.0,-0.07121858223082925
Fp1,1,PDA,dmnelf1001,46.41588833612777,0.2049474558856843
Fp1,1,PDA,dmnelf1002,100.0,0.1484917645083525
Fp1,1,PDA,dmnelf1003,46.41588833612777,0.08290042435443627
Fp2,1,CEN,dmnelf001,100000000.0,0.08001063683782361
Fp2,1,CEN,dmnelf002,100000000.0,0.0006292561412235615
Fp2,1,CEN,dmnelf003,100000000.0,0.056359386338855594
Fp2,1,CEN,dmnelf004,100000000.0,0.010154236874427978
Fp2,1,CEN,dmnelf005,100000000.0,0.15892722864626743
Fp2,1,CEN,dmnelf006,100000000.0,0.06448718931262351
Fp2,1,CEN,dmnelf007,100000000.0,0.06724134652897813
Fp2,1,CEN,dmnelf008,100000000.0,0.08443186465754755
Fp2,1,CEN,dmnelf009,100000000.0,0.051408520453541016
Fp2,1,CEN,dmnelf010,100000000.0,0.017902571684670413
Fp2,1,CEN,dmnelf011,100000000.0,0.003868123928107437
Fp2,1,CEN,dmnelf012,100000000.0,-0.019360178584274395
Fp2,1,CEN,dmnelf013,100000000.0,0.03377381354298316
Fp2,1,CEN,dmnelf014,100000000.0,0.13659080652756647
Fp2,1,CEN,dmnelf015,100000000.0,0.1004438499103807
Fp2,1,CEN,dmnelf016,100000000.0,0.028782629956528895
Fp2,1,CEN,dmnelf1001,100000000.0,-0.03385584308605055
Fp2,1,CEN,dmnelf1002,100000000.0,-0.26235223618099834
Fp2,1,CEN,dmnelf1003,100000000.0,-0.005169958457356059
Fp2,1,DMN,dmnelf001,215.44346900318823,-0.0011263314538823405
Fp2,1,DMN,dmnelf002,100.0,0.03721614645458321
Fp2,1,DMN,dmnelf003,100.0,0.05281759324752659
Fp2,1,DMN,dmnelf004,46.41588833612777,0.09789302828383661
Fp2,1,DMN,dmnelf005,100.0,0.06049345361496453
Fp2,1,DMN,dmnelf006,100.0,0.05995783967780249
Fp2,1,DMN,dmnelf007,100.0,0.07256528068274795
Fp2,1,DMN,dmnelf008,215.44346900318823,0.007891077745839966
Fp2,1,DMN,dmnelf009,100.0,-0.005061051070639634
Fp2,1,DMN,dmnelf010,100.0,0.029214215263396952
Fp2,1,DMN,dmnelf011,100.0,0.014876482449617026
Fp2,1,DMN,dmnelf012,464.15888336127773,-0.04993152896775431
Fp2,1,DMN,dmnelf013,464.15888336127773,-0.0004044193661946398
Fp2,1,DMN,dmnelf014,1000.0,-0.022050438011264346
Fp2,1,DMN,dmnelf015,2154.4346900318824,0.07916921637310748
Fp2,1,DMN,dmnelf016,1000.0,0.03991466861528819
Fp2,1,DMN,dmnelf1001,464.15888336127773,-0.029668465530886944
Fp2,1,DMN,dmnelf1002,215.44346900318823,-0.07453517385456028
Fp2,1,DMN,dmnelf1003,100.0,0.024007242954193313
Fp2,1,PDA,dmnelf001,1.0,0.05932361437871525
Fp2,1,PDA,dmnelf002,10.0,-0.07346934066374883
Fp2,1,PDA,dmnelf003,1.0,0.0280007811968163
Fp2,1,PDA,dmnelf004,4.641588833612778,-0.005273956581615209
Fp2,1,PDA,dmnelf005,10.0,0.06504320249717999
Fp2,1,PDA,dmnelf006,100000000.0,-0.07997650026498893
Fp2,1,PDA,dmnelf007,2154.4346900318824,-0.06801851293069144
Fp2,1,PDA,dmnelf008,100000000.0,0.05532547737835855
Fp2,1,PDA,dmnelf009,100000000.0,0.02057919402662716
Fp2,1,PDA,dmnelf010,1.0,-0.005638815160073253
Fp2,1,PDA,dmnelf011,1.0,0.10361644805283417
Fp2,1,PDA,dmnelf012,100000000.0,0.00695466253820637
Fp2,1,PDA,dmnelf013,100000000.0,0.018168078944293595
Fp2,1,PDA,dmnelf014,1.0,-0.0016132310309127122
