cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
dmnelf,dmnelf1003,1,2000,raw,1,fb,0.9811442317334097,0.9904823848942627,0.9952298151152138
dmnelf,dmnelf1003,1,2000,raw,1,full,0.9855447519133657,0.9927197570980434,0.99635322907995
dmnelf,dmnelf1003,1,2000,raw,3,fb,0.9883944264154119,0.994163344339327,0.9970774013783117
dmnelf,dmnelf1003,1,2000,raw,3,full,0.9896869057176404,0.9948167250572322,0.9974049955044502
dmnelf,dmnelf1003,1,2000,raw,5,fb,0.9890117746272277,0.9944755352819207,0.997233942102815
dmnelf,dmnelf1003,1,2000,raw,5,full,0.9910213549869455,0.9954904325910089,0.9977426685228055
dmnelf,dmnelf1003,1,2000,gsr,1,fb,0.9794077678313898,0.9895967710629071,0.9947847863045087
dmnelf,dmnelf1003,1,2000,gsr,1,full,0.9842544576665734,0.992064756476877,0.9960244758422742
dmnelf,dmnelf1003,1,2000,gsr,3,fb,0.9871723677894427,0.9935447813091187,0.9967671650436318
dmnelf,dmnelf1003,1,2000,gsr,3,full,0.9900166850273509,0.994983300869906,0.9974884966103148
dmnelf,dmnelf1003,1,2000,gsr,5,fb,0.9876633715110783,0.9937934015056368,0.9968918705183811
dmnelf,dmnelf1003,1,2000,gsr,5,full,0.990513988590057,0.9952343909842793,0.99761434982877
dmnelf,dmnelf1003,2,2000,raw,1,fb,0.9827728193070054,0.9913115710860835,0.9956463082270146
dmnelf,dmnelf1003,2,2000,raw,1,full,0.9818040975971465,0.9908185161061503,0.9953986719431317
dmnelf,dmnelf1003,2,2000,raw,3,fb,0.9906603930456463,0.9953082871458229,0.99765138557806
dmnelf,dmnelf1003,2,2000,raw,3,full,0.9900856035766346,0.9950181055500592,0.997505942613907
dmnelf,dmnelf1003,2,2000,raw,5,fb,0.9928109906578304,0.9963925282548766,0.9981946344550628
dmnelf,dmnelf1003,2,2000,raw,5,full,0.9921301616302869,0.9960495360587921,0.9980228133959624
dmnelf,dmnelf1003,2,2000,gsr,1,fb,0.9809573671585793,0.9903871566561098,0.9951819716293647
dmnelf,dmnelf1003,2,2000,gsr,1,full,0.9812674110181367,0.9905451485863602,0.9952613468764675
dmnelf,dmnelf1003,2,2000,gsr,3,fb,0.9903810439521216,0.99516727911115,0.9975807130809767
dmnelf,dmnelf1003,2,2000,gsr,3,full,0.9897516951622884,0.9948494554056024,0.9974214031218712
dmnelf,dmnelf1003,2,2000,gsr,5,fb,0.9928118096297842,0.9963929407004312,0.9981948410507997
dmnelf,dmnelf1003,2,2000,gsr,5,full,0.9925821047370402,0.9962772448646784,0.9981368868370102
dmnelf,dmnelf1003,3,2000,raw,1,fb,0.9794681564640431,0.989627595943431,0.9948002794246849
dmnelf,dmnelf1003,3,2000,raw,1,full,0.9777499058409156,0.9887497938473551,0.9943589864064964
dmnelf,dmnelf1003,3,2000,raw,3,fb,0.9873013397948995,0.9936100983022479,0.9967999289236772
dmnelf,dmnelf1003,3,2000,raw,3,full,0.9868033582571819,0.9933578521055078,0.9966733928953395
dmnelf,dmnelf1003,3,2000,raw,5,fb,0.9893700778482409,0.9946566391692909,0.9973247410794996
dmnelf,dmnelf1003,3,2000,raw,5,full,0.9879839090941429,0.9939556397559915,0.9969732392376395
dmnelf,dmnelf1003,3,2000,gsr,1,fb,0.9792199334741722,0.9895008805366304,0.9947365885181013
dmnelf,dmnelf1003,3,2000,gsr,1,full,0.9780624565496885,0.988909579989412,0.9944393294663139
dmnelf,dmnelf1003,3,2000,gsr,3,fb,0.9875933228709208,0.9937579398228412,0.9968740842367411
dmnelf,dmnelf1003,3,2000,gsr,3,full,0.9872365232501567,0.9935772734646762,0.9967834636793872
dmnelf,dmnelf1003,3,2000,gsr,5,fb,0.9895663467215589,0.9947558153586413,0.9973744609516735
dmnelf,dmnelf1003,3,2000,gsr,5,full,0.9898609883706311,0.9949046633465229,0.9974490780719198
