cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd_nf2,rtbpd022,1,2000,raw,1,fb,0.9889212280451452,0.99442975830383,0.9972109898631433
rtbpd_nf2,rtbpd022,1,2000,raw,1,full,0.988591540096302,0.9942630451383971,0.9971273966441786
rtbpd_nf2,rtbpd022,1,2000,raw,3,fb,0.9939908714419959,0.9969863811093285,0.9984920536034969
rtbpd_nf2,rtbpd022,1,2000,raw,3,full,0.993971314636785,0.9969765435846738,0.9984871274005859
rtbpd_nf2,rtbpd022,1,2000,raw,5,fb,0.995882503751535,0.9979370046880386,0.9989679698008533
rtbpd_nf2,rtbpd022,1,2000,raw,5,full,0.9953139922183926,0.997651493549445,0.9988250565286421
rtbpd_nf2,rtbpd022,1,2000,gsr,1,fb,0.986330718624412,0.9931183255399411,0.9965532226328612
rtbpd_nf2,rtbpd022,1,2000,gsr,1,full,0.9864699124518392,0.9931888786921212,0.9965886205913257
rtbpd_nf2,rtbpd022,1,2000,gsr,3,fb,0.991846643933358,0.9959066346340091,0.9979512185643189
rtbpd_nf2,rtbpd022,1,2000,gsr,3,full,0.9925221656371277,0.9962470508525153,0.9981217615363945
rtbpd_nf2,rtbpd022,1,2000,gsr,5,fb,0.9938732912902302,0.996927232669933,0.9984624342807961
rtbpd_nf2,rtbpd022,1,2000,gsr,5,full,0.9941050991888573,0.9970438364489712,0.9985208242440271
rtbpd_nf2,rtbpd022,2,2000,raw,1,fb,0.9807974353711971,0.9903056393925488,0.9951410148278227
rtbpd_nf2,rtbpd022,2,2000,raw,1,full,0.9804802287619863,0.9901439201691926,0.9950597570845645
rtbpd_nf2,rtbpd022,2,2000,raw,3,fb,0.9898471572962455,0.9948976771072457,0.9974455760126694
rtbpd_nf2,rtbpd022,2,2000,raw,3,full,0.9888835392738335,0.9944107030368278,0.9972014355368868
rtbpd_nf2,rtbpd022,2,2000,raw,5,fb,0.9902153258096014,0.995083610268945,0.9975387763234795
rtbpd_nf2,rtbpd022,2,2000,raw,5,full,0.9906031075130123,0.9952793741497129,0.9976368949420991
rtbpd_nf2,rtbpd022,2,2000,gsr,1,fb,0.9795617415958026,0.9896753619880928,0.9948242869914731
rtbpd_nf2,rtbpd022,2,2000,gsr,1,full,0.9794028240822539,0.9895942474835581,0.9947835178990241
rtbpd_nf2,rtbpd022,2,2000,gsr,3,fb,0.9880805129232193,0.9940045249680283,0.996997755748742
rtbpd_nf2,rtbpd022,2,2000,gsr,3,full,0.9878305995506663,0.9938780495420061,0.9969343255912126
