cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd,rtbpd024,1,2000,raw,1,fb,0.9871773122808095,0.9935472855693621,0.9967684212340207
rtbpd,rtbpd024,1,2000,raw,1,full,0.9884650956056222,0.9941990913394109,0.9970953271073989
rtbpd,rtbpd024,1,2000,raw,3,fb,0.9936693374399346,0.9968246175826757,0.9984110464045737
rtbpd,rtbpd024,1,2000,raw,3,full,0.9944015906885812,0.9971929378027191,0.9985954825667495
rtbpd,rtbpd024,1,2000,raw,5,fb,0.9960082114924543,0.998000114185622,0.998999556649362
rtbpd,rtbpd024,1,2000,raw,5,full,0.9958473894430959,0.9979193747082723,0.9989591456652631
rtbpd,rtbpd024,1,2000,gsr,1,fb,0.984079340596332,0.9919757949806166,0.9959798165528339
rtbpd,rtbpd024,1,2000,gsr,1,full,0.9871380949125398,0.9935274226182924,0.9967584575102899
rtbpd,rtbpd024,1,2000,gsr,3,fb,0.9919543884099538,0.9959609458746349,0.9979784295638032
rtbpd,rtbpd024,1,2000,gsr,3,full,0.9933575929116276,0.9966677293065767,0.9983324743323622
rtbpd,rtbpd024,1,2000,gsr,5,fb,0.9943432054461758,0.9971635802010523,0.9985807830120967
rtbpd,rtbpd024,1,2000,gsr,5,full,0.9959798755700553,0.9979858892972072,0.9989924370570616
rtbpd,rtbpd024,2,2000,raw,1,fb,0.9630158817105082,0.9811595419914458,0.990534977671887
rtbpd,rtbpd024,2,2000,raw,1,full,0.9705611671798685,0.9850606856004057,0.9925022345568829
rtbpd,rtbpd024,2,2000,raw,3,fb,0.9809423340293318,0.990379494827644,0.9951781221608743
rtbpd,rtbpd024,2,2000,raw,3,full,0.985504143674143,0.9926991558430935,0.9963428906973208
rtbpd,rtbpd024,2,2000,raw,5,fb,0.9843926519989149,0.9921349497110042,0.9960597119204271
rtbpd,rtbpd024,2,2000,raw,5,full,0.9858630150939298,0.9928811882800479,0.9964342368064477
rtbpd,rtbpd024,2,2000,gsr,1,fb,0.9612841340935055,0.9802599402944802,0.9900807746312824
rtbpd,rtbpd024,2,2000,gsr,1,full,0.9700513799188308,0.9847980512658492,0.9923699165461684
rtbpd,rtbpd024,2,2000,gsr,3,fb,0.9789601673274221,0.9893682384213969,0.9946699143039347
rtbpd,rtbpd024,2,2000,gsr,3,full,0.9839654325179202,0.9919179199298197,0.9959507617999093
rtbpd,rtbpd024,2,2000,gsr,5,fb,0.9829518891555127,0.9914026603783375,0.9956920509767754
rtbpd,rtbpd024,2,2000,gsr,5,full,0.9865508125100431,0.9932298799480676,0.996609191181813
rtbpd,rtbpd024,3,2000,raw,1,fb,0.9734822742135647,0.9865629774673286,0.993258766619922
rtbpd,rtbpd024,3,2000,raw,1,full,0.9760819807349768,0.9878962414018232,0.9939296964080625
rtbpd,rtbpd024,3,2000,raw,3,fb,0.9863511367996756,0.9931286755158935,0.9965584155060322
rtbpd,rtbpd024,3,2000,raw,3,full,0.9880840142416037,0.9940062966790959,0.9969986442714432
rtbpd,rtbpd024,3,2000,raw,5,fb,0.9881883961173807,0.994059112352891,0.9970251312544188
rtbpd,rtbpd024,3,2000,raw,5,full,0.9899983149055243,0.9949740233348134,0.9974838461523141
rtbpd,rtbpd024,3,2000,gsr,1,fb,0.9715150343621951,0.9855517380586347,0.992749584768805
rtbpd,rtbpd024,3,2000,gsr,1,full,0.9758973895470124,0.9878016892068908,0.9938821304394656
rtbpd,rtbpd024,3,2000,gsr,3,fb,0.9854158585939894,0.9926543644028618,0.9963204125194173
rtbpd,rtbpd024,3,2000,gsr,3,full,0.9870796629372145,0.9934978263308843,0.9967436111312098
rtbpd,rtbpd024,3,2000,gsr,5,fb,0.9880170630062203,0.9939724174320418,0.9969816535082487
