subject,session,run,n_vol,slider_calm,slider_noting,slider_difficulty,slider_ballcheck,rt_pda_mean,feedback_on
rtbpd009,nf1,1,149,7,8,3,7,0.2653,Feedback
rtbpd009,nf1,2,149,8,7,6,6,0.1143,Feedback
rtbpd009,nf1,3,149,8,7,7,7,0.1654,Feedback
rtbpd009,nf1,4,149,9,6,4,5,0.0675,Feedback
rtbpd009,nf1,5,149,9,7,3,4,0.2051,Feedback
rtbpd009,nf2,1,149,9,6,6,4,0.2267,Feedback
rtbpd009,nf2,2,149,9,7,6,4,0.2695,Feedback
rtbpd009,nf2,3,149,8,7,6,8,-0.1223,Feedback
rtbpd009,nf2,4,149,9,7,7,7,-0.0983,Feedback
rtbpd009,nf2,5,149,9,7,6,8,-0.1848,Feedback
rtbpd010,nf1,1,149,8,9,4,7,0.0571,Feedback
rtbpd010,nf1,2,149,9,7,4,7,0.3631,Feedback
rtbpd010,nf1,3,149,8,3,5,6,0.3557,Feedback
rtbpd010,nf1,4,149,8,3,6,4,0.4025,Feedback
rtbpd010,nf1,5,149,8,3,6,5,0.0823,Feedback
rtbpd010,nf2,3,149,9,8,4,8,-0.0593,Feedback
rtbpd010,nf2,4,149,9,9,3,7,0.1583,Feedback
rtbpd010,nf2,5,149,9,7,3,7,-0.2188,Feedback
rtbpd011,nf1,1,149,8,8,3,4,0.1697,Feedback
rtbpd011,nf1,2,149,8,8,4,4,0.02,Feedback
rtbpd011,nf1,3,149,7,8,5,5,0.051,Feedback
rtbpd011,nf1,4,149,8,8,4,4,-0.0023,Feedback
rtbpd011,nf1,5,149,7,9,4,4,0.5586,Feedback
rtbpd011,nf2,1,149,7,7,7,4,-0.1416,Feedback
rtbpd011,nf2,2,149,8,9,7,4,-0.1083,Feedback
rtbpd011,nf2,3,149,7,9,7,5,-0.0194,Feedback
rtbpd011,nf2,4,149,8,8,7,3,-0.0241,Feedback
rtbpd011,nf2,5,149,8,9,7,5,0.2193,Feedback
rtbpd012,nf1,1,149,7,2,1,4,0.4553,Feedback
rtbpd012,nf1,2,149,6,9,1,6,0.6611,Feedback
rtbpd012,nf1,3,149,4,5,6,3,0.167,Feedback
rtbpd012,nf1,4,149,3,6,6,1,0.6241,Feedback
rtbpd012,nf1,5,149,3,6,7,2,0.4026,Feedback
rtbpd013,nf1,1,149,5,9,7,8,0.2193,Feedback
rtbpd013,nf1,2,149,7,8,4,7,0.0265,Feedback
rtbpd013,nf1,3,149,8,7,6,6,0.2337,Feedback
