cohort,x,y,r,p,n
DMNELF (schizophrenia),slider_calm,rt_pda,0.20816580973151746,0.16028318341909054,47
DMNELF (schizophrenia),slider_mindful,rt_pda,0.42351082383862865,0.022062132604880755,29
DMNELF (schizophrenia),slider_ballcheck,rt_pda,0.25379357841552797,0.08518206762840967,47
DMNELF (schizophrenia),slider_difficulty,rt_pda,-0.29841018578348755,0.11586496760096282,29
DMNELF (schizophrenia),slider_calm,slider_difficulty,-0.45060987856620255,0.014162959116337847,29
DMNELF (schizophrenia),slider_calm,slider_mindful,0.5486911866456619,0.002055679442890189,29
DMNELF (schizophrenia),slider_calm,slider_ballcheck,0.4356649588747794,0.0022071571100196305,47
DMNELF (schizophrenia),slider_mindful,slider_difficulty,-0.4943466791211536,0.0064135348170052415,29
DMNELF (schizophrenia),calm_bs,pda_bs,0.36553772278096625,0.21935923398166948,13
rtBPD nf1,slider_calm,rt_pda,0.22216955930724952,0.013138377700934952,124
rtBPD nf1,slider_mindful,rt_pda,-0.008584355179891999,0.9246127315890263,124
rtBPD nf1,slider_ballcheck,rt_pda,0.011887775317308193,0.8957431787339653,124
rtBPD nf1,slider_difficulty,rt_pda,-0.40930813180747433,2.3564125858996864e-06,124
rtBPD nf1,slider_calm,slider_difficulty,-0.3048264376387749,0.0005767292180488641,124
rtBPD nf1,slider_calm,slider_mindful,0.05510011839729747,0.5433089057335662,124
rtBPD nf1,slider_calm,slider_ballcheck,-0.11148264601669722,0.21769066158766562,124
rtBPD nf1,slider_mindful,slider_difficulty,-0.258353015676041,0.0037661314210244933,124
rtBPD nf1,calm_bs,pda_bs,0.28885046724501257,0.16140203546842002,25
rtBPD nf2,slider_calm,rt_pda,0.23033850343020676,0.04993804979230919,73
rtBPD nf2,slider_mindful,rt_pda,0.18954465369159676,0.10824861021982261,73
rtBPD nf2,slider_ballcheck,rt_pda,0.09343272377912298,0.4317308227802893,73
rtBPD nf2,slider_difficulty,rt_pda,-0.09176458494110812,0.44003398590156306,73
rtBPD nf2,slider_calm,slider_difficulty,-0.41353692631349637,0.0002763707429059985,73
rtBPD nf2,slider_calm,slider_mindful,0.30767965882637033,0.008096662503361033,73
rtBPD nf2,slider_calm,slider_ballcheck,0.3619900585759868,0.0016499940080476135,73
rtBPD nf2,slider_mindful,slider_difficulty,-0.429144021118658,0.00015163120985209908,73
rtBPD nf2,calm_bs,pda_bs,0.20119775580912758,0.4721172748187361,15
