subject,recal_r,recal_p,loro_ridge_r,loro_p,per_run_r
dmnelf001,-0.09673651902495287,0.2787212787212787,0.09998201310601651,0.2047952047952048,-0.333;0.144;-0.172;-0.249
dmnelf004,-0.013812991604746555,0.938061938061938,0.09387543084037117,0.5834165834165834,0.229;0.057;-0.116;0.140
dmnelf005,0.06977528089873371,0.46353646353646355,-0.006729429010006113,0.938061938061938,-0.125;0.211;0.050;-0.345
dmnelf006,-0.096620085386815,0.5424575424575424,0.09474737248562919,0.48951048951048953,0.217;0.072;-0.437;0.037
dmnelf007,0.11215668744153458,0.4085914085914086,0.005119201342513128,0.952047952047952,0.272;0.307;0.395;0.319
dmnelf008,-0.024218723809842392,0.8401598401598401,0.1739970807491334,0.19880119880119881,-0.061;-0.299;-0.225;-0.057
dmnelf009,-0.24542687262151722,0.029970029970029972,0.08634751595657289,0.3226773226773227,0.080;-0.266;-0.369;-0.274
dmnelf010,-0.12658837551292135,0.13886113886113885,-0.15044934826258569,0.13586413586413587,-0.167;-0.042;0.141;-0.237
dmnelf011,0.008089890492715772,0.954045954045954,0.07173492918151242,0.4905094905094905,-0.484;0.018;0.562;-0.109
dmnelf012,0.013617602020948744,0.8841158841158842,-0.022042981926456602,0.8441558441558441,-0.284;0.113;0.123;0.266
dmnelf013,-0.45424046834763154,0.000999000999000999,-0.17513813151131383,0.028971028971028972,-0.089;0.149;-0.788;-0.049
dmnelf014,0.02117461514106517,0.8311688311688312,-0.034621050012003565,0.8201798201798202,-0.229;0.665;-0.064;-0.136
dmnelf015,0.053051799570810645,0.6723276723276723,0.09148771861539488,0.4275724275724276,-0.506;0.174;0.211;0.618
dmnelf1001,-0.07105930608181436,0.38961038961038963,-0.04771658684319358,0.5564435564435565,-0.146;-0.154;-0.018;0.287
dmnelf1002,-0.011684239859469479,0.8981018981018981,0.03678728611770559,0.7492507492507493,0.248;-0.043;-0.323;-0.095
dmnelf1003,0.09190889291308062,0.3986013986013986,-0.03355084762353639,0.7322677322677322,-0.056;0.177;0.166
