group,measure,n,pre,post,delta,t,p,dz
DMNELF (schizophrenia),within_dmn_difumo,16,0.4436825799902363,0.45005189224098174,0.00636931225074544,0.2441571390929243,0.8104172184219582,0.0610392847726461
DMNELF (schizophrenia),within_cen_difumo,16,0.4020259146175087,0.5085599132268577,0.10653399860934898,3.8357677943967645,0.0016203479599801699,0.9589419485905594
DMNELF (schizophrenia),dmn_cen_difumo,16,0.11621339817442741,0.20850038609787644,0.09228698792344903,2.150758999388674,0.048205449751235044,0.5376897498440358
DMNELF (schizophrenia),mpfc_pcc,16,0.5196426032995696,0.5087344327952112,-0.010908170504358328,-0.24420276597119706,0.8103825331593926,-0.06105069149245758
DMNELF (schizophrenia),acc_pcc,16,0.25746372625273467,0.29278697551648947,0.0353232492637548,0.5401401242759898,0.5970293216821546,0.13503503106848125
DMNELF (schizophrenia),acc_mpfc,16,0.4839980758217217,0.4699258708092013,-0.014072205012520433,-0.3161232107285459,0.7562651900307058,-0.07903080268169262
DMNELF (schizophrenia),within_dmn_pers,14,0.3552293395992186,0.2409775358891004,-0.1142518037101182,-6.196013889480434,3.239493054896721e-05,-1.6559543669851704
DMNELF (schizophrenia),within_cen_pers,14,0.31100617217262483,0.22816938616799134,-0.08283678600463348,-4.114536332803447,0.0012194875078725303,-1.0996560901842436
DMNELF (schizophrenia),dmn_cen_pers,14,0.0396691409449446,0.17684061276544985,0.13717147182050526,1.6673805421226535,0.11933405800392406,0.4456261944268642
rtBPD nf1,within_dmn_difumo,23,0.5189185982037956,0.527159181114076,0.008240582910280403,0.36848014882426333,0.7160372949886344,0.07683342232303858
rtBPD nf1,within_cen_difumo,23,0.44220098347615455,0.44730396259476196,0.005102979118607409,0.24616313535202136,0.8078381378352584,0.05132856192986282
rtBPD nf1,dmn_cen_difumo,23,0.24610615805505434,0.2614089663925322,0.015302808337477852,0.5086292508131903,0.6160750873087899,0.10605653020486627
rtBPD nf1,mpfc_pcc,23,0.5657751943240645,0.5758419982085552,0.01006680388449066,0.29515665855779843,0.7706417461628379,0.061544417713847166
rtBPD nf1,acc_pcc,23,0.3510146604510965,0.38442392240612655,0.03340926195503002,0.7426074041322763,0.46557533221011205,0.15484434774636927
rtBPD nf1,acc_mpfc,23,0.44119049892612416,0.5073233846276616,0.06613288570153741,1.5332462549661419,0.13947102104478387,0.31970394445792377
rtBPD nf1,within_dmn_pers,20,0.23863307746751797,0.15510453755605136,-0.08352853991146661,-5.899821706599384,1.111386625237429e-05,-1.319240239087668
rtBPD nf1,within_cen_pers,20,0.24320525746306138,0.1700896010928421,-0.07311565637021927,-4.490031109774706,0.00025079483316193683,-1.0040014782407196
rtBPD nf1,dmn_cen_pers,20,0.11164463251298817,0.20234089235373848,0.0906962598407503,1.3923089740890442,0.17991145181203297,0.31132975117354095
rtBPD nf2,within_dmn_difumo,13,0.49147138049670613,0.48158149367585745,-0.009889886820848681,-0.28918388640553744,0.7773759483685969,-0.08020517926651252
rtBPD nf2,within_cen_difumo,13,0.41875729960268565,0.45007074192920504,0.03131344232651939,1.1065301363385422,0.2901864220705521,0.30689624187505155
rtBPD nf2,dmn_cen_difumo,13,0.18981141646274888,0.22325221992871108,0.033440803465962204,0.8834591466290979,0.39434340672142687,0.24502748099427168
rtBPD nf2,mpfc_pcc,13,0.5697677248040726,0.5603000678328116,-0.009467656971260952,-0.20159586495551396,0.8436096375571264,-0.055912632924178994
rtBPD nf2,acc_pcc,13,0.30333678708715034,0.28654363421478524,-0.016793152872365102,-0.24697929707335498,0.8090989861532197,-0.06849973227480016
rtBPD nf2,acc_mpfc,13,0.34546194370549377,0.3630646868266094,0.01760274312111565,0.40256232559286104,0.6943491543014108,0.1116507004989141
rtBPD nf2,within_dmn_pers,13,0.14190315362145478,0.13126176296661277,-0.010641390654842015,-0.929612336441522,0.3708951308008933,-0.25782807271250613
rtBPD nf2,within_cen_pers,13,0.14718395417208913,0.1401678664246493,-0.007016087747439836,-0.4294014347088366,0.675239894896854,-0.11909453004417173
rtBPD nf2,dmn_cen_pers,13,0.2209107616453496,0.2833307035922363,0.06241994194688669,0.9768033774122012,0.3479480739891446,0.2709165125608314
