subject,run,condition,band,log_power_db
sub-rtbpd002,01,pre,delta,-113.407
sub-rtbpd002,01,pre,theta,-114.4061
sub-rtbpd002,01,pre,alpha,-113.2844
sub-rtbpd002,01,pre,beta,-123.6018
sub-rtbpd002,01,pre,gamma,-129.2251
sub-rtbpd002,02,pre,delta,-112.1554
sub-rtbpd002,02,pre,theta,-114.3298
sub-rtbpd002,02,pre,alpha,-113.054
sub-rtbpd002,02,pre,beta,-123.5784
sub-rtbpd002,02,pre,gamma,-128.6494
sub-rtbpd002,03,post,delta,-108.0284
sub-rtbpd002,03,post,theta,-114.873
sub-rtbpd002,03,post,alpha,-113.9817
sub-rtbpd002,03,post,beta,-125.916
sub-rtbpd002,03,post,gamma,-134.3952
sub-rtbpd002,04,post,delta,-111.1839
sub-rtbpd002,04,post,theta,-115.3598
sub-rtbpd002,04,post,alpha,-114.9944
sub-rtbpd002,04,post,beta,-126.4033
sub-rtbpd002,04,post,gamma,-134.6595
sub-rtbpd003,01,pre,delta,-111.5386
sub-rtbpd003,01,pre,theta,-116.1393
sub-rtbpd003,01,pre,alpha,-116.7732
sub-rtbpd003,01,pre,beta,-123.9382
sub-rtbpd003,01,pre,gamma,-132.1559
sub-rtbpd003,02,pre,delta,-110.9035
sub-rtbpd003,02,pre,theta,-115.68
sub-rtbpd003,02,pre,alpha,-116.3733
sub-rtbpd003,02,pre,beta,-123.3497
sub-rtbpd003,02,pre,gamma,-131.2395
sub-rtbpd003,03,post,delta,-111.6122
sub-rtbpd003,03,post,theta,-116.4252
sub-rtbpd003,03,post,alpha,-116.3572
sub-rtbpd003,03,post,beta,-123.8008
sub-rtbpd003,03,post,gamma,-130.9109
sub-rtbpd003,04,post,delta,-111.1644
sub-rtbpd003,04,post,theta,-115.5358
sub-rtbpd003,04,post,alpha,-115.6702
sub-rtbpd003,04,post,beta,-123.077
sub-rtbpd003,04,post,gamma,-130.8253
sub-rtbpd009,01,pre,delta,-109.6271
sub-rtbpd009,01,pre,theta,-110.9819
sub-rtbpd009,01,pre,alpha,-115.8167
sub-rtbpd009,01,pre,beta,-123.3087
sub-rtbpd009,01,pre,gamma,-129.2286
sub-rtbpd009,02,pre,delta,-108.2775
sub-rtbpd009,02,pre,theta,-109.5082
sub-rtbpd009,02,pre,alpha,-114.2572
sub-rtbpd009,02,pre,beta,-121.578
sub-rtbpd009,02,pre,gamma,-127.5305
sub-rtbpd009,03,post,delta,-105.3466
sub-rtbpd009,03,post,theta,-106.7471
sub-rtbpd009,03,post,alpha,-111.9422
sub-rtbpd009,03,post,beta,-121.0655
sub-rtbpd009,03,post,gamma,-128.7959
