neural,clinical,n,r,p
fc_within_cen_difumo_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.8369801337630737,0.00252551886450573
delta_power_delta,PHQ-9 total (0-27),10,-0.8279887269420019,0.003094753985430685
delta_power_delta,PHQ-9 total (0-27) [resid],10,-0.7894357812005304,0.0066121652521502535
fc_within_dmn_pers_delta,PANAS trait negative affect (10-50) [resid],10,-0.7893340507509831,0.006624077090006969
fc_dmn_cen_pers_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.6940722791883421,0.025968734402930925
fc_within_dmn_pers_delta,PANAS trait negative affect (10-50),10,-0.6933853594924374,0.026178485542176555
gamma_power_delta,PHQ-9 total (0-27),10,0.6880371754035982,0.027851388621798923
fc_dmn_cen_difumo_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.6862602641238787,0.028422984897133453
CEN_duration_ms_delta,PHQ-9 total (0-27) [resid],10,-0.6694553261872619,0.03422968563211928
CEN_duration_ms_delta,PHQ-9 total (0-27),10,-0.6653058304847468,0.03577813805534373
gamma_power_delta,PHQ-9 total (0-27) [resid],10,0.6613498507533884,0.03729785884738317
fc_within_cen_difumo_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.6528048611909028,0.040727943862814545
delta_plv_delta,PAI-BOR total (0-72),10,0.64448399069853,0.04426598671564108
delta_plv_delta,PAI-BOR total (0-72) [resid],10,0.6244430912621857,0.05361803570574674
beta_power_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.6233546815911792,0.05416045057939769
theta_power_delta,PHQ-9 total (0-27) [resid],10,-0.6188000916238204,0.0564696726776009
theta_power_delta,PHQ-9 total (0-27),10,-0.6060286189161114,0.06328931729846951
DMN_duration_ms_delta,PAI-BOR total (0-72) [resid],10,-0.605750887005139,0.06344333627136282
DMN_duration_ms_delta,PAI-BOR total (0-72),10,-0.6005223432380052,0.06638890737417825
CEN_duration_ms_delta,PANAS trait positive affect (10-50),10,0.5918332764671764,0.07147929524146855
fc_within_dmn_pers_delta,PANAS trait positive affect (10-50) [resid],10,-0.5917096814317333,0.07155347770953988
delta_plv_delta,PHQ-9 total (0-27),10,-0.591562561155201,0.07164184548429192
CEN_coverage_pct_delta,PHQ-9 total (0-27) [resid],10,-0.5779203889495149,0.08014726305180249
CEN_coverage_pct_delta,PHQ-9 total (0-27),10,-0.5754441321335146,0.0817578222227873
gamma_power_delta,PANAS trait positive affect (10-50) [resid],10,-0.5653415256382389,0.08854417190009554
beta_plv_delta,PHQ-9 total (0-27),10,-0.55005490171306,0.09948110002374372
delta_power_delta,PANAS trait positive affect (10-50) [resid],10,0.5483773579188574,0.10073096581176888
CEN_gev_pct_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.5439946291171436,0.10404314354768583
DMN_occurrence_hz_delta,PHQ-9 total (0-27),10,0.5427579495109176,0.10499002643697705
delta_plv_delta,PHQ-9 total (0-27) [resid],10,-0.5427556681690648,0.10499177818883336
fc_mpfc_pcc_delta,PANAS trait negative affect (10-50) [resid],10,-0.5376791499838243,0.10893562668727044
fc_acc_mpfc_delta,PHQ-9 total (0-27),10,-0.5296709573710287,0.11534409662803419
fc_within_dmn_pers_delta,PANAS trait positive affect (10-50),10,-0.5280455764119532,0.11667289734279412
DMN_duration_ms_delta,PANAS trait positive affect (10-50),10,0.527227127326612,0.1173456092910682
CEN_duration_ms_delta,PANAS trait negative affect (10-50),10,0.5266105227291531,0.11785401415829033
beta_power_delta,PHQ-9 total (0-27),10,0.5246604557194637,0.11947092776632832
gamma_power_delta,PANAS trait positive affect (10-50),10,-0.5241874347997878,0.11986520858740027
beta_plv_delta,PHQ-9 total (0-27) [resid],10,-0.5182553543201945,0.1248786870959584
fc_dmn_cen_difumo_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.5130831683670627,0.12935441211415347
beta_power_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.5078866213244753,0.13394969235784507
DMN_occurrence_hz_delta,PHQ-9 total (0-27) [resid],10,0.5003259433037461,0.1408126800343501
fc_mpfc_pcc_delta,PANAS trait negative affect (10-50),10,-0.4940678002548726,0.1466528564325822
CEN_gev_pct_delta,PHQ-9 total (0-27) [resid],10,-0.49029538684362345,0.15024338396099018
fc_dmn_cen_difumo_delta,PHQ-9 total (0-27) [resid],10,0.487833832540023,0.15261473739611744
beta_power_delta,PHQ-9 total (0-27) [resid],10,0.4875852876997897,0.1528554262789206
gamma_plv_delta,PANAS trait positive affect (10-50) [resid],10,0.4815421461304076,0.15877831392434022
gamma_power_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.4813881447667622,0.1589310286108894
CEN_gev_pct_delta,PHQ-9 total (0-27),10,-0.4792345242228279,0.1610759249392904
CEN_coverage_pct_delta,PANAS trait positive affect (10-50),10,0.4790229863336431,0.1612875393877933
