subject,run,condition,band,plv
sub-rtbpd002,01,pre,delta,0.42458
sub-rtbpd002,01,pre,theta,0.45497
sub-rtbpd002,01,pre,alpha,0.47392
sub-rtbpd002,01,pre,beta,0.32238
sub-rtbpd002,01,pre,gamma,0.30587
sub-rtbpd002,02,pre,delta,0.44099
sub-rtbpd002,02,pre,theta,0.44678
sub-rtbpd002,02,pre,alpha,0.48147
sub-rtbpd002,02,pre,beta,0.33296
sub-rtbpd002,02,pre,gamma,0.29031
sub-rtbpd002,03,post,delta,0.55962
sub-rtbpd002,03,post,theta,0.49655
sub-rtbpd002,03,post,alpha,0.52422
sub-rtbpd002,03,post,beta,0.42122
sub-rtbpd002,03,post,gamma,0.43348
sub-rtbpd002,04,post,delta,0.5026
sub-rtbpd002,04,post,theta,0.45596
sub-rtbpd002,04,post,alpha,0.48877
sub-rtbpd002,04,post,beta,0.37782
sub-rtbpd002,04,post,gamma,0.40048
sub-rtbpd003,01,pre,delta,0.37568
sub-rtbpd003,01,pre,theta,0.32866
sub-rtbpd003,01,pre,alpha,0.39332
sub-rtbpd003,01,pre,beta,0.36854
sub-rtbpd003,01,pre,gamma,0.37662
sub-rtbpd003,02,pre,delta,0.38793
sub-rtbpd003,02,pre,theta,0.35521
sub-rtbpd003,02,pre,alpha,0.38379
sub-rtbpd003,02,pre,beta,0.36948
sub-rtbpd003,02,pre,gamma,0.39509
sub-rtbpd003,03,post,delta,0.39967
sub-rtbpd003,03,post,theta,0.3546
sub-rtbpd003,03,post,alpha,0.39851
sub-rtbpd003,03,post,beta,0.38488
sub-rtbpd003,03,post,gamma,0.42816
sub-rtbpd003,04,post,delta,0.41536
sub-rtbpd003,04,post,theta,0.37884
sub-rtbpd003,04,post,alpha,0.42573
sub-rtbpd003,04,post,beta,0.38663
sub-rtbpd003,04,post,gamma,0.41098
sub-rtbpd009,01,pre,delta,0.44278
sub-rtbpd009,01,pre,theta,0.46205
sub-rtbpd009,01,pre,alpha,0.42412
sub-rtbpd009,01,pre,beta,0.38535
sub-rtbpd009,01,pre,gamma,0.39828
