parameter,microstate,mean_pre,mean_post,mean_diff,t,p,p_fdr,cohens_d,n,sig_fdr,lmm_beta,lmm_se,lmm_z,lmm_p,lmm_p_fdr
duration_ms,D,22.5668,22.25123,-0.31557,-0.2374,0.815765,0.887434,-0.0613,15,False,-0.31557,1.32911,-0.2374,0.812326,1.0
duration_ms,C,27.77493,28.2882,0.51327,0.2117,0.835396,0.887434,0.0547,15,False,0.51327,2.42456,0.2117,0.832345,1.0
duration_ms,B,22.7221,23.4543,0.7322,0.9925,0.337818,0.887434,0.2563,15,False,0.7322,0.73776,0.9925,0.320974,1.0
duration_ms,A,21.09437,22.35357,1.2592,0.9674,0.349751,0.887434,0.2498,15,False,,,,,
occurrence_hz,D,9.24444,9.16642,-0.07802,-0.1442,0.887434,0.887434,-0.0372,15,False,,,,,
occurrence_hz,C,11.39551,11.08491,-0.31061,-0.6987,0.496186,0.887434,-0.1804,15,False,-0.31061,0.44455,-0.6987,0.484743,1.0
occurrence_hz,B,10.54557,10.34721,-0.19836,-0.4059,0.690969,0.887434,-0.1048,15,False,,,,,
occurrence_hz,A,10.03716,9.95798,-0.07918,-0.2135,0.834035,0.887434,-0.0551,15,False,-0.07918,0.37091,-0.2135,0.830957,1.0
coverage_pct,D,21.84037,20.8089,-1.03147,-0.4925,0.630004,0.887434,-0.1272,15,False,-1.03147,2.09438,-0.4925,0.622371,1.0
coverage_pct,C,32.63627,31.9237,-0.71257,-0.2363,0.816596,0.887434,-0.061,15,False,-0.71257,3.01508,-0.2363,0.813173,1.0
coverage_pct,B,24.18213,24.67277,0.49063,0.3628,0.722203,0.887434,0.0937,15,False,0.49063,1.3525,0.3628,0.716784,1.0
coverage_pct,A,21.34103,22.59477,1.25373,0.7725,0.452635,0.887434,0.1995,15,False,1.25373,1.62285,0.7725,0.439789,1.0
gev_pct,D,11.87203,10.12167,-1.75037,-0.7,0.495404,0.887434,-0.1807,15,False,,,,,
gev_pct,C,29.2053,27.86183,-1.34347,-0.2646,0.795195,0.887434,-0.0683,15,False,-1.34347,5.07791,-0.2646,0.79134,1.0
gev_pct,B,14.99013,15.4271,0.43697,0.362,0.722793,0.887434,0.0935,15,False,0.43697,1.20726,0.3619,0.71739,1.0
gev_pct,A,11.53723,12.9184,1.38117,0.5247,0.607988,0.887434,0.1355,15,False,,,,,
