parameter,microstate,mean_pre,mean_post,mean_diff,t,p,p_fdr,cohens_d,n,sig_fdr,lmm_beta,lmm_se,lmm_z,lmm_p,lmm_p_fdr
duration_ms,B,27.80193,28.01773,0.2158,0.38,0.709621,0.92965,0.0981,15,False,0.2158,0.56786,0.38,0.70393,1.0
duration_ms,D,26.7725,27.2419,0.4694,0.1963,0.84722,0.92965,0.0507,15,False,0.4694,2.39162,0.1963,0.8444,1.0
duration_ms,C,33.3857,31.66467,-1.72103,-0.564,0.581671,0.92965,-0.1456,15,False,-1.72103,3.05143,-0.564,0.572748,1.0
duration_ms,A,23.6738,23.78293,0.10913,0.099,0.922538,0.92965,0.0256,15,False,0.10913,1.1023,0.099,0.921134,1.0
occurrence_hz,B,8.85655,8.91201,0.05546,0.3224,0.751906,0.92965,0.0832,15,False,0.05546,0.17201,0.3224,0.747142,1.0
occurrence_hz,D,8.24948,8.42451,0.17503,0.5303,0.604223,0.92965,0.1369,15,False,0.17503,0.33007,0.5303,0.595913,1.0
occurrence_hz,C,8.87188,8.95676,0.08488,0.2718,0.789741,0.92965,0.0702,15,False,,,,,
occurrence_hz,A,8.61523,8.58541,-0.02982,-0.2205,0.828646,0.92965,-0.0569,15,False,-0.02982,0.13521,-0.2205,0.825464,1.0
coverage_pct,B,25.1799,25.7586,0.5787,0.6689,0.514467,0.92965,0.1727,15,False,0.5787,0.86521,0.6689,0.503589,1.0
coverage_pct,D,23.45387,24.1304,0.67653,0.2426,0.81182,0.92965,0.0626,15,False,0.67653,2.78847,0.2426,0.808302,1.0
coverage_pct,C,30.67633,29.27363,-1.4027,-0.4194,0.681318,0.92965,-0.1083,15,False,-1.4027,3.34487,-0.4194,0.674954,1.0
coverage_pct,A,20.6898,20.8374,0.1476,0.1199,0.906252,0.92965,0.031,15,False,0.1476,1.23084,0.1199,0.904548,1.0
gev_pct,B,17.15323,17.0182,-0.13503,-0.0899,0.92965,0.92965,-0.0232,15,False,-0.13503,1.50224,-0.0899,0.928376,1.0
gev_pct,D,14.70443,14.04453,-0.6599,-0.2296,0.821694,0.92965,-0.0593,15,False,-0.6599,2.87364,-0.2296,0.818372,1.0
gev_pct,C,30.88953,30.0511,-0.83843,-0.136,0.893793,0.92965,-0.0351,15,False,-0.83843,6.167,-0.136,0.891857,1.0
gev_pct,A,10.0693,11.1504,1.0811,0.5953,0.561121,0.92965,0.1537,15,False,,,,,
