subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd002,01,pre,D,25.894,13.2226,34.238,26.978
sub-rtbpd002,01,pre,C,15.162,9.3081,14.113,4.424
sub-rtbpd002,01,pre,B,19.533,12.2365,23.902,13.228
sub-rtbpd002,01,pre,A,22.329,12.4264,27.746,17.709
sub-rtbpd002,02,pre,D,26.775,12.5496,33.601,26.959
sub-rtbpd002,02,pre,C,15.299,9.3348,14.281,4.276
sub-rtbpd002,02,pre,B,19.92,11.7201,23.346,12.723
sub-rtbpd002,02,pre,A,23.411,12.2898,28.771,19.654
sub-rtbpd002,03,post,D,22.91,8.9616,20.531,8.807
sub-rtbpd002,03,post,C,16.446,7.2126,11.862,3.014
sub-rtbpd002,03,post,B,21.017,9.2815,19.506,6.501
sub-rtbpd002,03,post,A,40.936,11.7501,48.1,50.754
sub-rtbpd002,04,post,D,24.167,10.1043,24.42,14.355
sub-rtbpd002,04,post,C,18.371,8.9916,16.519,5.926
sub-rtbpd002,04,post,B,20.631,9.6179,19.843,9.933
sub-rtbpd002,04,post,A,32.565,12.0433,39.219,39.9
sub-rtbpd003,01,pre,D,21.227,9.2648,19.666,9.784
sub-rtbpd003,01,pre,C,22.66,12.563,28.467,18.36
sub-rtbpd003,01,pre,B,23.858,11.7934,28.137,22.617
sub-rtbpd003,01,pre,A,22.455,10.5674,23.729,14.556
sub-rtbpd003,02,pre,D,19.313,8.915,17.218,8.917
sub-rtbpd003,02,pre,C,22.323,12.8728,28.737,18.275
sub-rtbpd003,02,pre,B,22.675,11.82,26.802,22.288
sub-rtbpd003,02,pre,A,23.614,11.5369,27.243,18.162
sub-rtbpd003,03,post,D,21.125,9.3981,19.854,11.783
sub-rtbpd003,03,post,C,22.371,13.5824,30.385,19.261
sub-rtbpd003,03,post,B,21.241,11.5302,24.492,18.528
sub-rtbpd003,03,post,A,21.967,11.5036,25.27,16.778
sub-rtbpd003,04,post,D,21.929,10.1676,22.296,14.723
sub-rtbpd003,04,post,C,21.067,12.6063,26.558,16.196
sub-rtbpd003,04,post,B,21.424,11.4636,24.56,18.273
sub-rtbpd003,04,post,A,23.105,11.5069,26.586,18.524
sub-rtbpd009,01,pre,D,16.253,8.3508,13.573,3.874
sub-rtbpd009,01,pre,C,33.529,14.1455,47.428,61.972
sub-rtbpd009,01,pre,B,16.725,10.9446,18.305,7.413
sub-rtbpd009,01,pre,A,18.858,10.9736,20.694,8.168
sub-rtbpd009,02,pre,D,16.923,7.9722,13.491,3.333
sub-rtbpd009,02,pre,C,33.848,14.1288,47.823,59.751
sub-rtbpd009,02,pre,B,15.913,10.071,16.026,5.831
sub-rtbpd009,02,pre,A,19.23,11.7834,22.659,9.387
sub-rtbpd009,03,post,D,20.169,8.0322,16.2,8.433
