subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd002,01,pre,B,22.569,9.4514,21.331,10.505
sub-rtbpd002,01,pre,D,42.144,11.0438,46.543,45.275
sub-rtbpd002,01,pre,C,16.133,6.7862,10.948,2.598
sub-rtbpd002,01,pre,A,22.345,9.478,21.179,8.739
sub-rtbpd002,02,pre,B,24.056,10.0277,24.123,12.368
sub-rtbpd002,02,pre,D,38.868,10.7873,41.929,44.465
sub-rtbpd002,02,pre,C,17.041,7.5458,12.859,3.223
sub-rtbpd002,02,pre,A,22.096,9.5447,21.09,8.878
sub-rtbpd002,03,post,B,21.714,9.1849,19.944,7.964
sub-rtbpd002,03,post,D,42.347,10.9372,46.316,47.038
sub-rtbpd002,03,post,C,16.361,7.3092,11.959,3.191
sub-rtbpd002,03,post,A,21.918,9.9378,21.781,9.878
sub-rtbpd002,04,post,B,22.058,9.598,21.171,11.481
sub-rtbpd002,04,post,D,34.627,10.7473,37.215,35.771
sub-rtbpd002,04,post,C,19.34,8.6318,16.694,6.378
sub-rtbpd002,04,post,A,24.365,10.2276,24.92,13.796
sub-rtbpd003,01,pre,B,26.303,9.2248,24.264,14.357
sub-rtbpd003,01,pre,D,28.139,9.3448,26.295,16.746
sub-rtbpd003,01,pre,C,24.204,9.3381,22.602,12.043
sub-rtbpd003,01,pre,A,27.42,9.7879,26.838,17.35
sub-rtbpd003,02,pre,B,26.316,9.0982,23.943,14.205
sub-rtbpd003,02,pre,D,30.883,9.3847,28.983,20.837
sub-rtbpd003,02,pre,C,23.353,9.0982,21.247,11.472
sub-rtbpd003,02,pre,A,27.51,9.3881,25.827,15.886
sub-rtbpd003,03,post,B,25.158,9.4047,23.66,13.588
sub-rtbpd003,03,post,D,30.231,9.6846,29.278,20.163
sub-rtbpd003,03,post,C,22.851,9.2248,21.08,12.119
sub-rtbpd003,03,post,A,26.792,9.6979,25.983,16.399
sub-rtbpd003,04,post,B,24.727,9.3548,23.132,13.191
sub-rtbpd003,04,post,D,32.723,9.7779,31.996,24.025
sub-rtbpd003,04,post,C,20.933,8.8084,18.438,9.538
sub-rtbpd003,04,post,A,27.398,9.6479,26.434,16.909
sub-rtbpd009,01,pre,B,19.845,7.4678,14.82,4.389
sub-rtbpd009,01,pre,D,17.278,6.5092,11.247,2.108
sub-rtbpd009,01,pre,C,53.775,9.257,49.779,71.395
sub-rtbpd009,01,pre,A,26.938,8.9665,24.154,10.761
sub-rtbpd009,02,pre,B,18.969,6.9894,13.258,3.797
sub-rtbpd009,02,pre,D,17.327,6.3231,10.956,2.397
sub-rtbpd009,02,pre,C,54.791,9.0683,49.686,67.859
sub-rtbpd009,02,pre,A,29.157,8.9517,26.101,12.39
sub-rtbpd009,03,post,B,22.237,7.3126,16.261,7.718
sub-rtbpd009,03,post,D,27.807,8.1821,22.752,13.272
sub-rtbpd009,03,post,C,33.439,8.935,29.878,29.224
sub-rtbpd009,03,post,A,33.458,9.2981,31.109,32.452
sub-rtbpd009,04,post,B,20.547,7.3459,15.094,7.163
sub-rtbpd009,04,post,D,29.521,8.6452,25.521,17.98
sub-rtbpd009,04,post,C,29.989,8.8417,26.515,19.399
sub-rtbpd009,04,post,A,34.45,9.5413,32.87,36.117
sub-rtbpd010,01,pre,B,25.518,9.0483,23.089,13.069
sub-rtbpd010,01,pre,D,21.494,7.9622,17.114,7.027
sub-rtbpd010,01,pre,C,35.658,10.2509,36.553,42.457
sub-rtbpd010,01,pre,A,24.724,9.4014,23.244,13.78
sub-rtbpd010,02,pre,B,25.422,9.3548,23.782,14.968
sub-rtbpd010,02,pre,D,23.236,8.2954,19.275,9.895
sub-rtbpd010,02,pre,C,33.021,10.3842,34.29,40.002
sub-rtbpd010,02,pre,A,24.232,9.3481,22.653,13.949
sub-rtbpd010,03,post,B,28.454,10.031,28.542,22.002
sub-rtbpd010,03,post,D,22.005,8.9117,19.61,10.63
sub-rtbpd010,03,post,C,30.588,10.6207,32.487,32.232
sub-rtbpd010,03,post,A,21.163,9.1482,19.36,10.42
sub-rtbpd010,04,post,B,27.607,9.9544,27.481,19.563
sub-rtbpd010,04,post,D,22.255,8.945,19.907,9.912
sub-rtbpd010,04,post,C,31.768,10.5241,33.433,39.609
sub-rtbpd010,04,post,A,20.4,9.4014,19.179,9.571
sub-rtbpd011,01,pre,B,24.362,8.5685,20.875,10.465
sub-rtbpd011,01,pre,D,26.773,8.9417,23.94,12.381
sub-rtbpd011,01,pre,C,24.168,8.7351,21.111,10.147
sub-rtbpd011,01,pre,A,36.725,9.2781,34.074,23.886
sub-rtbpd011,02,pre,B,26.185,9.0849,23.789,11.181
sub-rtbpd011,02,pre,D,33.873,9.3548,31.688,29.069
sub-rtbpd011,02,pre,C,21.635,7.6724,16.599,6.13
sub-rtbpd011,02,pre,A,31.726,8.8017,27.924,15.442
sub-rtbpd011,03,post,B,26.537,9.5613,25.372,16.892
sub-rtbpd011,03,post,D,24.781,9.015,22.34,15.495
sub-rtbpd011,03,post,C,25.91,9.2981,24.091,18.364
sub-rtbpd011,03,post,A,30.957,9.1082,28.196,20.008
sub-rtbpd011,04,post,B,26.676,9.8878,26.377,16.378
sub-rtbpd011,04,post,D,21.235,8.6585,18.386,7.714
sub-rtbpd011,04,post,C,30.768,9.8412,30.279,22.772
sub-rtbpd011,04,post,A,27.726,9.0016,24.958,14.689
sub-rtbpd012,01,pre,B,21.796,7.8523,17.114,5.554
sub-rtbpd012,01,pre,D,15.973,6.3764,10.185,2.08
sub-rtbpd012,01,pre,C,54.588,9.6479,52.666,69.524
sub-rtbpd012,01,pre,A,22.711,8.8217,20.035,8.438
sub-rtbpd012,02,pre,B,22.569,7.3692,16.631,6.447
sub-rtbpd012,02,pre,D,20.64,7.0894,14.632,6.815
sub-rtbpd012,02,pre,C,39.529,9.7246,38.44,42.307
sub-rtbpd012,02,pre,A,31.434,9.6379,30.296,21.958
sub-rtbpd012,03,post,B,19.854,6.5697,13.043,4.788
sub-rtbpd012,03,post,D,15.71,5.7135,8.976,2.373
sub-rtbpd012,03,post,C,58.426,9.3781,54.793,57.072
sub-rtbpd012,03,post,A,26.853,8.6352,23.188,13.567
sub-rtbpd012,04,post,B,19.011,6.5996,12.546,5.458
sub-rtbpd012,04,post,D,15.845,5.8067,9.201,3.422
sub-rtbpd012,04,post,C,57.258,9.4814,54.288,56.45
sub-rtbpd012,04,post,A,26.711,8.9716,23.965,15.374
sub-rtbpd013,01,pre,B,32.6,9.6613,31.496,33.417
sub-rtbpd013,01,pre,D,19.558,7.2693,14.217,4.709
sub-rtbpd013,01,pre,C,36.998,10.2643,37.975,41.958
sub-rtbpd013,01,pre,A,21.418,7.6157,16.312,5.359
sub-rtbpd013,02,pre,B,36.516,9.5213,34.768,34.04
sub-rtbpd013,02,pre,D,19.848,7.0994,14.091,6.565
sub-rtbpd013,02,pre,C,37.006,9.7445,36.06,38.156
sub-rtbpd013,02,pre,A,20.977,7.1893,15.081,4.288
sub-rtbpd013,03,post,B,31.634,9.6746,30.604,22.443
sub-rtbpd013,03,post,D,27.576,9.2815,25.594,12.205
sub-rtbpd013,03,post,C,24.575,9.1715,22.539,27.399
sub-rtbpd013,03,post,A,23.699,8.9716,21.262,9.144
sub-rtbpd013,04,post,B,40.578,10.091,40.947,48.654
sub-rtbpd013,04,post,D,33.463,9.4614,31.66,19.189
sub-rtbpd013,04,post,C,17.955,7.9955,14.356,6.126
sub-rtbpd013,04,post,A,18.05,7.2226,13.037,4.133
sub-rtbpd015,01,pre,B,26.071,7.8756,20.533,12.541
sub-rtbpd015,01,pre,D,17.723,6.2632,11.1,3.566
sub-rtbpd015,01,pre,C,48.788,9.8045,47.834,56.495
sub-rtbpd015,01,pre,A,24.41,8.412,20.533,9.83
sub-rtbpd015,02,pre,B,33.481,8.8717,29.703,23.382
sub-rtbpd015,02,pre,D,18.722,6.573,12.306,4.8
sub-rtbpd015,02,pre,C,42.989,9.9045,42.578,45.96
sub-rtbpd015,02,pre,A,20.247,7.6124,15.413,6.431
sub-rtbpd015,03,post,B,45.706,9.9244,45.361,33.748
sub-rtbpd015,03,post,D,36.111,9.6812,34.96,19.307
sub-rtbpd015,03,post,C,16.856,6.6896,11.276,1.74
sub-rtbpd015,03,post,A,14.961,5.6169,8.403,1.165
sub-rtbpd015,04,post,B,24.377,8.5186,20.766,11.998
sub-rtbpd015,04,post,D,29.211,8.5719,25.039,16.93
sub-rtbpd015,04,post,C,21.957,9.3981,20.636,12.213
sub-rtbpd015,04,post,A,34.76,9.6546,33.559,26.869
sub-rtbpd018,01,pre,B,40.967,10.1043,41.394,44.842
sub-rtbpd018,01,pre,D,34.28,9.2648,31.76,26.816
sub-rtbpd018,01,pre,C,16.834,7.8489,13.213,4.833
sub-rtbpd018,01,pre,A,17.972,7.5858,13.633,5.09
sub-rtbpd018,02,pre,B,48.13,9.3081,44.8,53.837
sub-rtbpd018,02,pre,D,24.311,8.1721,19.868,9.93
sub-rtbpd018,02,pre,C,25.086,9.1982,23.074,19.35
sub-rtbpd018,02,pre,A,16.217,7.5591,12.258,3.269
sub-rtbpd018,03,post,B,43.044,9.3814,40.381,38.794
sub-rtbpd018,03,post,D,23.228,7.8756,18.294,6.906
sub-rtbpd018,03,post,C,31.165,9.2348,28.78,31.11
sub-rtbpd018,03,post,A,17.179,7.3026,12.545,5.236
sub-rtbpd018,04,post,B,47.171,9.6846,45.683,49.583
sub-rtbpd018,04,post,D,28.085,8.7384,24.542,12.49
sub-rtbpd018,04,post,C,22.417,8.2221,18.431,11.57
sub-rtbpd018,04,post,A,17.311,6.553,11.344,5.12
sub-rtbpd020,01,pre,B,40.532,9.9711,40.415,22.947
sub-rtbpd020,01,pre,D,33.286,9.5813,31.892,16.768
sub-rtbpd020,01,pre,C,18.051,6.8828,12.424,2.954
sub-rtbpd020,01,pre,A,19.57,7.8023,15.269,4.195
sub-rtbpd020,02,pre,B,41.185,10.1976,41.999,21.972
sub-rtbpd020,02,pre,D,37.676,10.1743,38.333,19.486
sub-rtbpd020,02,pre,C,16.142,5.6635,9.142,1.287
sub-rtbpd020,02,pre,A,16.319,6.4497,10.525,1.494
sub-rtbpd020,03,post,B,37.731,10.2643,38.728,30.513
sub-rtbpd020,03,post,D,21.187,7.9722,16.891,5.17
sub-rtbpd020,03,post,C,31.823,9.8545,31.36,23.737
sub-rtbpd020,03,post,A,17.387,7.4891,13.021,3.751
sub-rtbpd020,04,post,B,45.452,10.3742,47.153,31.806
sub-rtbpd020,04,post,D,28.156,9.3481,26.321,10.341
sub-rtbpd020,04,post,C,20.224,7.3892,14.944,3.952
sub-rtbpd020,04,post,A,17.068,6.7862,11.583,2.948
sub-rtbpd021,01,pre,B,32.12,9.1349,29.341,27.998
sub-rtbpd021,01,pre,D,27.503,8.422,23.163,13.734
sub-rtbpd021,01,pre,C,31.63,9.4047,29.747,25.843
sub-rtbpd021,01,pre,A,21.772,8.1521,17.749,8.186
sub-rtbpd021,02,pre,B,25.805,8.7917,22.687,13.087
sub-rtbpd021,02,pre,D,53.749,9.7146,52.215,50.29
sub-rtbpd021,02,pre,C,15.994,6.2698,10.028,2.429
sub-rtbpd021,02,pre,A,20.043,7.5191,15.07,4.799
sub-rtbpd021,03,post,B,18.508,6.5463,12.116,1.376
sub-rtbpd021,03,post,D,19.81,6.9628,13.793,2.123
sub-rtbpd021,03,post,C,36.168,9.4081,34.027,51.111
sub-rtbpd021,03,post,A,43.763,9.1549,40.064,14.582
sub-rtbpd021,04,post,B,36.013,9.5247,34.301,10.251
sub-rtbpd021,04,post,D,30.69,8.6185,26.45,8.39
sub-rtbpd021,04,post,C,25.074,8.8184,22.111,60.842
sub-rtbpd021,04,post,A,21.444,7.9922,17.138,4.35
sub-rtbpd024,01,pre,B,31.004,10.2376,31.74,29.029
sub-rtbpd024,01,pre,D,28.866,9.6213,27.772,15.598
sub-rtbpd024,01,pre,C,23.335,9.1515,21.355,13.859
sub-rtbpd024,01,pre,A,21.979,8.7051,19.133,7.945
sub-rtbpd024,02,pre,B,21.739,8.5286,18.54,7.697
sub-rtbpd024,02,pre,D,22.873,8.1021,18.532,7.098
sub-rtbpd024,02,pre,C,32.75,9.7679,31.99,36.072
sub-rtbpd024,02,pre,A,31.501,9.8212,30.937,21.997
sub-rtbpd024,03,post,B,27.992,9.6113,26.904,17.763
sub-rtbpd024,03,post,D,19.202,7.7723,14.924,3.902
sub-rtbpd024,03,post,C,38.676,10.2643,39.698,54.972
sub-rtbpd024,03,post,A,21.67,8.5252,18.474,5.701
sub-rtbpd024,04,post,B,26.803,9.3148,24.966,13.248
sub-rtbpd024,04,post,D,20.29,7.2126,14.634,3.149
sub-rtbpd024,04,post,C,43.261,9.9744,43.151,63.052
sub-rtbpd024,04,post,A,20.877,8.262,17.249,4.962
sub-rtbpd030,01,pre,B,14.946,5.7901,8.654,1.306
sub-rtbpd030,01,pre,D,11.95,3.578,4.276,0.38
sub-rtbpd030,01,pre,C,85.129,8.5552,72.829,88.256
sub-rtbpd030,01,pre,A,17.999,7.9122,14.241,3.176
sub-rtbpd030,02,pre,B,17.016,7.4925,12.749,4.607
sub-rtbpd030,02,pre,D,13.855,6.2632,8.678,1.958
sub-rtbpd030,02,pre,C,57.076,10.091,57.595,66.762
sub-rtbpd030,02,pre,A,22.643,9.2648,20.978,10.687
sub-rtbpd030,03,post,B,15.026,6.7895,10.202,1.988
sub-rtbpd030,03,post,D,11.423,4.3076,4.921,0.577
sub-rtbpd030,03,post,C,77.366,9.1982,71.163,85.675
sub-rtbpd030,03,post,A,16.79,8.1688,13.715,3.24
sub-rtbpd030,04,post,B,16.495,7.3725,12.161,2.932
sub-rtbpd030,04,post,D,12.483,5.0772,6.338,0.835
sub-rtbpd030,04,post,C,68.503,9.528,65.27,82.252
sub-rtbpd030,04,post,A,19.227,8.4419,16.231,4.588
sub-rtbpd038,01,pre,B,25.782,8.5119,21.945,9.656
sub-rtbpd038,01,pre,D,37.686,9.468,35.681,21.718
sub-rtbpd038,01,pre,C,23.353,8.292,19.364,6.519
sub-rtbpd038,01,pre,A,25.599,8.9883,23.009,8.966
sub-rtbpd038,02,pre,B,24.125,8.5519,20.632,7.617
sub-rtbpd038,02,pre,D,40.239,9.9877,40.189,19.601
sub-rtbpd038,02,pre,C,20.484,7.6191,15.607,13.302
sub-rtbpd038,02,pre,A,25.663,9.1849,23.571,8.786
sub-rtbpd038,03,post,B,20.322,6.9694,14.163,2.69
sub-rtbpd038,03,post,D,58.775,9.6579,56.764,33.994
sub-rtbpd038,03,post,C,14.172,5.0838,7.205,0.925
sub-rtbpd038,03,post,A,25.621,8.5352,21.868,4.839
sub-rtbpd038,04,post,B,24.354,7.7856,18.961,6.058
sub-rtbpd038,04,post,D,52.402,9.7712,51.203,34.92
sub-rtbpd038,04,post,C,17.842,6.4897,11.579,2.602
sub-rtbpd038,04,post,A,22.314,8.1821,18.257,5.867
sub-rtbpd040,01,pre,B,28.409,9.8945,28.11,21.767
sub-rtbpd040,01,pre,D,23.375,8.5585,20.005,10.783
sub-rtbpd040,01,pre,C,34.522,10.101,34.871,38.349
sub-rtbpd040,01,pre,A,19.228,8.8484,17.014,8.964
sub-rtbpd040,02,pre,B,29.72,9.7146,28.872,23.55
sub-rtbpd040,02,pre,D,21.047,7.9589,16.751,8.238
sub-rtbpd040,02,pre,C,37.508,10.0844,37.824,45.145
sub-rtbpd040,02,pre,A,19.639,8.4286,16.553,7.16
sub-rtbpd040,03,post,B,27.33,10.4941,28.68,19.595
sub-rtbpd040,03,post,D,22.334,8.7185,19.472,9.571
sub-rtbpd040,03,post,C,31.479,10.734,33.79,39.439
sub-rtbpd040,03,post,A,19.59,9.2182,18.059,9.129
sub-rtbpd040,04,post,B,27.416,10.2343,28.058,20.92
sub-rtbpd040,04,post,D,23.744,8.6818,20.614,13.542
sub-rtbpd040,04,post,C,32.796,10.3542,33.958,36.468
sub-rtbpd040,04,post,A,19.586,8.8684,17.37,9.708
