parameter,microstate,mean_pre,mean_post,mean_diff,t,p,p_fdr,cohens_d,n,sig_fdr,lmm_beta,lmm_se,lmm_z,lmm_p,lmm_p_fdr
duration_ms,CEN,22.06543,22.63473,0.5693,0.3574,0.726134,0.977674,0.0923,15,False,0.5693,1.59296,0.3574,0.720804,1.0
duration_ms,DANT,17.22103,16.9818,-0.23923,-0.4281,0.675106,0.977674,-0.1105,15,False,-0.23923,0.55886,-0.4281,0.668595,1.0
duration_ms,AUD,19.9225,20.0224,0.0999,0.0994,0.922243,0.977674,0.0257,15,False,0.0999,1.0052,0.0994,0.920834,1.0
duration_ms,DMN,15.57733,16.133,0.55567,1.3264,0.205926,0.970892,0.3425,15,False,0.55567,0.41892,1.3264,0.184693,1.0
duration_ms,SOM,17.6866,17.4604,-0.2262,-0.3379,0.740473,0.977674,-0.0872,15,False,-0.2262,0.66949,-0.3379,0.735461,1.0
duration_ms,VIS,19.3995,20.8563,1.4568,1.168,0.262322,0.970892,0.3016,15,False,,,,,
duration_ms,SAL,20.57567,21.20323,0.62757,0.9853,0.341209,0.970892,0.2544,15,False,0.62757,0.63694,0.9853,0.324487,1.0
occurrence_hz,CEN,8.48763,8.33322,-0.1544,-0.2917,0.774815,0.977674,-0.0753,15,False,-0.1544,0.52937,-0.2917,0.770538,1.0
occurrence_hz,DANT,5.75443,5.48149,-0.27294,-0.5584,0.585381,0.970892,-0.1442,15,False,,,,,
occurrence_hz,AUD,8.58178,8.15499,-0.42679,-1.1135,0.284264,0.970892,-0.2875,15,False,-0.42679,0.38329,-1.1135,0.265506,1.0
occurrence_hz,DMN,4.92231,4.95801,0.0357,0.1248,0.90246,0.977674,0.0322,15,False,0.0357,0.28607,0.1248,0.900686,1.0
occurrence_hz,SOM,6.38725,5.97388,-0.41337,-0.9607,0.353025,0.970892,-0.248,15,False,-0.41337,0.4303,-0.9607,0.336726,1.0
occurrence_hz,VIS,7.51711,7.58852,0.07141,0.1566,0.877805,0.977674,0.0404,15,False,0.07141,0.45604,0.1566,0.875569,1.0
occurrence_hz,SAL,8.06398,8.25126,0.18728,0.4742,0.642642,0.977674,0.1224,15,False,,,,,
coverage_pct,CEN,20.0803,19.98763,-0.09267,-0.0394,0.969133,0.977674,-0.0102,15,False,-0.09267,2.35234,-0.0394,0.968577,1.0
coverage_pct,DANT,10.44583,9.65573,-0.7901,-0.7615,0.458996,0.970892,-0.1966,15,False,-0.7901,1.03756,-0.7615,0.44636,1.0
coverage_pct,AUD,17.77643,17.01373,-0.7627,-0.5642,0.581536,0.970892,-0.1457,15,False,-0.7627,1.35179,-0.5642,0.572609,1.0
coverage_pct,DMN,7.84773,8.12747,0.27973,0.5523,0.58947,0.970892,0.1426,15,False,0.27973,0.5065,0.5523,0.580754,1.0
coverage_pct,SOM,11.92177,10.70043,-1.22133,-1.1343,0.275735,0.970892,-0.2929,15,False,-1.22133,1.07677,-1.1343,0.256686,1.0
coverage_pct,VIS,15.0462,16.71103,1.66483,1.0367,0.317452,0.970892,0.2677,15,False,1.66483,1.6059,1.0367,0.299876,1.0
coverage_pct,SAL,16.8816,17.80397,0.92237,0.9258,0.370249,0.970892,0.239,15,False,0.92237,0.99632,0.9258,0.354565,1.0
gev_pct,CEN,22.61457,22.3371,-0.27747,-0.0597,0.953221,0.977674,-0.0154,15,False,,,,,
gev_pct,DANT,4.11077,3.77693,-0.33383,-0.5604,0.584063,0.970892,-0.1447,15,False,-0.33383,0.5957,-0.5604,0.575206,1.0
gev_pct,AUD,13.49787,12.4379,-1.05997,-0.701,0.494767,0.970892,-0.181,15,False,-1.05997,1.51197,-0.7011,0.483271,1.0
gev_pct,DMN,2.1203,2.45757,0.33727,1.3828,0.188375,0.970892,0.357,15,False,0.33727,0.24389,1.3828,0.166714,1.0
gev_pct,SOM,5.88787,4.70453,-1.18333,-1.1752,0.259505,0.970892,-0.3034,15,False,,,,,
gev_pct,VIS,10.5089,11.9889,1.48,0.599,0.558766,0.970892,0.1547,15,False,1.48,2.47094,0.599,0.549199,1.0
gev_pct,SAL,12.77747,12.7329,-0.04457,-0.0285,0.977674,0.977674,-0.0074,15,False,-0.04457,1.5643,-0.0285,0.977271,1.0
