subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd002,01,pre,CEN,13.112,4.7174,6.185,2.545
sub-rtbpd002,01,pre,DANT,16.694,7.3492,12.269,4.551
sub-rtbpd002,01,pre,AUD,14.154,6.6429,9.403,4.052
sub-rtbpd002,01,pre,DMN,14.823,5.8667,8.696,2.115
sub-rtbpd002,01,pre,SOM,19.096,9.6279,18.386,10.58
sub-rtbpd002,01,pre,VIS,23.794,11.6801,27.792,29.037
sub-rtbpd002,01,pre,SAL,18.566,9.3015,17.269,14.102
sub-rtbpd002,02,pre,CEN,13.599,4.6074,6.266,2.612
sub-rtbpd002,02,pre,DANT,16.252,7.1726,11.657,4.09
sub-rtbpd002,02,pre,AUD,15.636,6.7462,10.548,4.683
sub-rtbpd002,02,pre,DMN,15.024,5.1704,7.768,1.707
sub-rtbpd002,02,pre,SOM,19.184,9.2448,17.735,10.737
sub-rtbpd002,02,pre,VIS,24.771,11.6601,28.884,30.327
sub-rtbpd002,02,pre,SAL,19.424,8.8251,17.142,13.885
sub-rtbpd002,03,post,CEN,15.023,3.8345,5.761,1.672
sub-rtbpd002,03,post,DANT,17.755,5.4769,9.725,2.391
sub-rtbpd002,03,post,AUD,16.215,6.2732,10.172,4.063
sub-rtbpd002,03,post,DMN,15.531,5.0605,7.86,1.443
sub-rtbpd002,03,post,SOM,17.303,4.7907,8.289,2.35
sub-rtbpd002,03,post,VIS,41.966,11.0105,46.206,56.919
sub-rtbpd002,03,post,SAL,18.22,6.5796,11.988,4.561
sub-rtbpd002,04,post,CEN,15.003,4.9139,7.373,3.6
sub-rtbpd002,04,post,DANT,16.609,5.4803,9.102,3.039
sub-rtbpd002,04,post,AUD,18.409,7.1527,13.167,6.815
sub-rtbpd002,04,post,DMN,17.478,5.8601,10.242,2.965
sub-rtbpd002,04,post,SOM,18.391,6.1965,11.396,5.298
sub-rtbpd002,04,post,VIS,32.63,10.5474,34.417,44.795
sub-rtbpd002,04,post,SAL,19.55,7.3159,14.303,8.462
sub-rtbpd003,01,pre,CEN,19.204,8.5685,16.455,14.405
sub-rtbpd003,01,pre,DANT,18.847,7.2759,13.713,8.217
sub-rtbpd003,01,pre,AUD,18.227,8.0588,14.688,10.332
sub-rtbpd003,01,pre,DMN,18.153,6.8628,12.458,5.856
sub-rtbpd003,01,pre,SOM,16.813,6.4097,10.777,5.136
sub-rtbpd003,01,pre,VIS,19.216,8.1254,15.614,11.913
sub-rtbpd003,01,pre,SAL,19.818,8.2221,16.295,15.182
sub-rtbpd003,02,pre,CEN,18.595,9.0649,16.857,14.855
sub-rtbpd003,02,pre,DANT,17.396,6.7795,11.793,6.843
