subject,run,condition,n_bad_channels,bad_channel_names,n_edge_annotations,ica_n_excluded,bcg_status,interpolated,skipped_no_qc_log,duration_sec,n_gfp_peaks
sub-rtbpd002,01,pre,,,,,,False,True,300.17,8840
sub-rtbpd002,02,pre,,,,,,False,True,300.17,8769
sub-rtbpd002,03,post,,,,,,False,True,300.17,7337
sub-rtbpd002,04,post,,,,,,False,True,300.17,7693
sub-rtbpd003,01,pre,,,,,,False,True,300.17,10208
sub-rtbpd003,02,pre,,,,,,False,True,300.17,10368
sub-rtbpd003,03,post,,,,,,False,True,300.17,10392
sub-rtbpd003,04,post,,,,,,False,True,300.17,10061
sub-rtbpd009,01,pre,0,,0,8,applied:352,False,False,344.28,10455
sub-rtbpd009,02,pre,0,,0,8,applied:352,False,False,300.17,8981
sub-rtbpd009,03,post,0,,0,7,applied:343,False,False,300.17,7720
sub-rtbpd009,04,post,0,,0,6,applied:346,False,False,300.17,7377
sub-rtbpd010,01,pre,1,Fp1,0,6,applied:335,True,False,300.17,7301
sub-rtbpd010,02,pre,1,Fp1,0,6,applied:334,True,False,300.17,7096
sub-rtbpd010,03,post,1,Fp1,0,7,applied:384,True,False,300.17,6649
sub-rtbpd010,04,post,1,Fp1,0,7,applied:386,True,False,300.17,7130
sub-rtbpd011,01,pre,0,,0,7,applied:371,False,False,300.17,8185
sub-rtbpd011,02,pre,2,Fp2;Fp1,0,7,applied:383,True,False,300.17,7500
sub-rtbpd011,03,post,2,Fp2;Fp1,1,7,applied:379,True,False,300.17,8264
sub-rtbpd011,04,post,0,,0,7,applied:374,False,False,300.17,8379
sub-rtbpd012,01,pre,0,,0,7,applied:359,False,False,300.17,6989
sub-rtbpd012,02,pre,0,,0,7,applied:369,False,False,300.17,7329
sub-rtbpd012,03,post,1,Fp2,1,5,applied:356,True,False,300.17,6090
sub-rtbpd012,04,post,1,Fp2,0,5,applied:376,True,False,300.17,5677
sub-rtbpd013,01,pre,1,TP10,1,7,applied:277,True,False,300.17,7117
sub-rtbpd013,02,pre,1,TP10,1,6,applied:278,True,False,300.17,6520
sub-rtbpd013,03,post,1,TP10,1,7,applied:268,True,False,300.17,8380
sub-rtbpd013,04,post,1,TP10,1,7,applied:248,True,False,300.17,7531
sub-rtbpd015,01,pre,0,,0,6,applied:370,False,False,300.17,8216
sub-rtbpd015,02,pre,1,Fp2,0,6,applied:362,True,False,300.17,8360
sub-rtbpd015,03,post,1,Fp2,0,7,applied:372,True,False,300.17,11043
sub-rtbpd015,04,post,1,Fp1,0,6,applied:375,True,False,300.17,10505
sub-rtbpd018,01,pre,1,TP9,1,7,applied:395,True,False,300.17,9180
sub-rtbpd018,02,pre,1,TP9,1,8,applied:379,True,False,300.17,8147
sub-rtbpd018,03,post,1,TP9,1,7,applied:352,True,False,300.17,6870
sub-rtbpd018,04,post,1,TP9,1,7,applied:365,True,False,300.17,7238
sub-rtbpd020,01,pre,1,P7,0,7,applied:282,True,False,300.17,7090
sub-rtbpd020,02,pre,1,P7,1,7,applied:310,True,False,300.17,7431
sub-rtbpd020,03,post,1,P7,0,7,applied:293,True,False,300.17,7683
sub-rtbpd020,04,post,2,T7;P7,1,7,applied:289,True,False,300.17,8378
sub-rtbpd021,01,pre,1,Fp1,0,7,applied:324,True,False,300.17,7346
sub-rtbpd021,02,pre,1,Fp1,0,7,applied:337,True,False,300.17,7828
sub-rtbpd021,03,post,2,Fp1;Fp2,0,7,applied:327,True,False,300.17,7785
sub-rtbpd021,04,post,0,,0,7,applied:297,False,False,300.17,6907
sub-rtbpd024,01,pre,0,,0,7,applied:219,False,False,300.17,7890
sub-rtbpd024,02,pre,0,,0,7,applied:172,False,False,300.17,7150
sub-rtbpd024,03,post,0,,0,5,applied:276,False,False,300.17,7413
sub-rtbpd024,04,post,0,,0,7,applied:187,False,False,300.17,6823
sub-rtbpd030,01,pre,0,,0,7,applied:452,False,False,300.17,6597
sub-rtbpd030,02,pre,0,,0,7,applied:476,False,False,300.17,8251
sub-rtbpd030,03,post,1,Fp2,0,7,applied:483,True,False,300.17,7054
sub-rtbpd030,04,post,0,,0,7,applied:491,False,False,300.17,6864
sub-rtbpd038,01,pre,1,Fp2,0,8,applied:352,True,False,300.17,8159
sub-rtbpd038,02,pre,1,Fp2,0,7,applied:402,True,False,300.17,8897
sub-rtbpd038,03,post,1,Fp2,0,7,applied:443,True,False,300.17,7577
sub-rtbpd038,04,post,1,Fp2,0,7,applied:455,True,False,300.17,7734
sub-rtbpd040,01,pre,2,Fp2;Fp1,0,7,applied:381,True,False,300.17,7649
sub-rtbpd040,02,pre,1,Fp1,0,7,applied:369,True,False,300.17,8178
sub-rtbpd040,03,post,2,Fp2;Fp1,0,7,applied:349,True,False,300.17,6814
sub-rtbpd040,04,post,2,Fp2;Fp1,0,7,applied:360,True,False,300.17,6540
