subject,target,n_cal_runs,r,n_test_runs,method,r_group
rtbpd002,GSR_CEN,0,0.1714554668678169,5,group_only,
rtbpd002,PDA,0,0.26763009665142184,5,group_only,
rtbpd002,RAW_DMN,0,0.16292555570818645,5,group_only,
rtbpd002,GSR_CEN,1,0.256831846069363,4,pseudo_cal,0.18857498281634044
rtbpd002,PDA,1,0.28346617831455845,4,pseudo_cal,0.2908581748660606
rtbpd002,RAW_DMN,1,-0.025336778964777425,4,pseudo_cal,0.17755645531588982
rtbpd002,GSR_CEN,2,0.15658273935624217,3,pseudo_cal,0.06291526086143581
rtbpd002,PDA,2,0.2571094527322254,3,pseudo_cal,0.2604981595584528
rtbpd002,RAW_DMN,2,-0.03179244105476361,3,pseudo_cal,0.2641334572135883
rtbpd002,GSR_CEN,3,0.13001034282326698,2,pseudo_cal,0.06348034301127167
rtbpd002,PDA,3,0.28855190221439175,2,pseudo_cal,0.3205669760290535
rtbpd002,RAW_DMN,3,-0.2207449673924099,2,pseudo_cal,0.2605307492679749
rtbpd003,GSR_CEN,0,-0.0020893245387647546,5,group_only,
rtbpd003,PDA,0,0.02177209387181608,5,group_only,
rtbpd003,RAW_DMN,0,0.3307158352723746,5,group_only,
rtbpd003,GSR_CEN,1,-0.12101169870795375,4,pseudo_cal,-0.1253866350526055
rtbpd003,PDA,1,0.0358980310874607,4,pseudo_cal,-0.03351696405588196
rtbpd003,RAW_DMN,1,-0.276993646061542,4,pseudo_cal,0.40064043507601727
rtbpd003,GSR_CEN,2,-0.05493190931726003,3,pseudo_cal,-0.09618637991055999
rtbpd003,PDA,2,-0.002413368510351693,3,pseudo_cal,-0.043551020623887715
rtbpd003,RAW_DMN,2,-0.16608353131424272,3,pseudo_cal,0.36482369745820226
rtbpd003,GSR_CEN,3,-0.0021564457913730377,2,pseudo_cal,-0.020418740462072156
rtbpd003,PDA,3,0.0034294237686901827,2,pseudo_cal,0.014968097207322317
rtbpd003,RAW_DMN,3,-0.17223897928905382,2,pseudo_cal,0.4184551251598192
rtbpd004,GSR_CEN,0,0.05577243806014289,4,group_only,
rtbpd004,PDA,0,-0.0029495727596701715,4,group_only,
rtbpd004,RAW_DMN,0,0.2507485798103667,4,group_only,
rtbpd004,GSR_CEN,1,-0.0034591456796000523,3,pseudo_cal,0.020070822068249814
rtbpd004,PDA,1,-0.07246317136220987,3,pseudo_cal,0.02994405036526479
rtbpd004,RAW_DMN,1,-0.31184314585440637,3,pseudo_cal,0.2176985155373085
rtbpd004,GSR_CEN,2,-0.0033815180033219113,2,pseudo_cal,0.022301006603453664
rtbpd004,PDA,2,0.0673068809690792,2,pseudo_cal,0.06771114633238698
rtbpd004,RAW_DMN,2,-0.23159006717753586,2,pseudo_cal,0.15996715146435947
rtbpd004,GSR_CEN,3,-0.1784205432302387,1,pseudo_cal,-0.09449982182685525
rtbpd004,PDA,3,-0.26567672924320057,1,pseudo_cal,-0.15409814755628154
rtbpd004,RAW_DMN,3,-0.3723205053566844,1,pseudo_cal,0.22792013428181418
