subject,target,strategy,r,n_test_runs
rtbpd002,GSR_CEN,no_cal,0.1714554668678169,
rtbpd002,PDA,no_cal,0.26763009665142184,
rtbpd002,RAW_DMN,no_cal,0.16292555570818645,
rtbpd002,GSR_CEN,feedback_1run_cal,0.256831846069363,4.0
rtbpd002,PDA,feedback_1run_cal,0.28346617831455845,4.0
rtbpd002,RAW_DMN,feedback_1run_cal,-0.025336778964777425,4.0
rtbpd002,GSR_CEN,sret_self_vs_rest_all,0.22321600227415841,
rtbpd002,PDA,sret_self_vs_rest_all,0.23826811556307478,
rtbpd002,RAW_DMN,sret_self_vs_rest_all,0.09881142950398349,
rtbpd002,GSR_CEN,sret_self_vs_rest_1run,0.22800370590625543,
rtbpd002,PDA,sret_self_vs_rest_1run,0.2592042657962717,
rtbpd002,RAW_DMN,sret_self_vs_rest_1run,0.10518710571934416,
rtbpd002,GSR_CEN,sret_self_vs_semantic_all,0.20381683584609359,
rtbpd002,PDA,sret_self_vs_semantic_all,0.20440517697414087,
rtbpd002,RAW_DMN,sret_self_vs_semantic_all,0.10691134397889625,
rtbpd002,GSR_CEN,sret_self_vs_semantic_1run,0.2355495087959806,
rtbpd002,PDA,sret_self_vs_semantic_1run,0.2604220376486485,
rtbpd002,RAW_DMN,sret_self_vs_semantic_1run,0.14198847788528512,
rtbpd002,GSR_CEN,sret_graded_all,0.209835097683118,
rtbpd002,PDA,sret_graded_all,0.2172103762385727,
rtbpd002,RAW_DMN,sret_graded_all,0.10455707914918035,
rtbpd002,GSR_CEN,sret_graded_1run,0.23162611983391607,
rtbpd002,PDA,sret_graded_1run,0.25932300755337906,
rtbpd002,RAW_DMN,sret_graded_1run,0.11745477705750781,
rtbpd003,GSR_CEN,no_cal,-0.0020893245387647546,
rtbpd003,PDA,no_cal,0.02177209387181608,
rtbpd003,RAW_DMN,no_cal,0.3307158352723746,
rtbpd003,GSR_CEN,feedback_1run_cal,-0.12101169870795375,4.0
rtbpd003,PDA,feedback_1run_cal,0.0358980310874607,4.0
rtbpd003,RAW_DMN,feedback_1run_cal,-0.276993646061542,4.0
rtbpd003,GSR_CEN,sret_self_vs_rest_all,,
rtbpd003,PDA,sret_self_vs_rest_all,,
rtbpd003,RAW_DMN,sret_self_vs_rest_all,,
rtbpd003,GSR_CEN,sret_self_vs_rest_1run,,
rtbpd003,PDA,sret_self_vs_rest_1run,,
rtbpd003,RAW_DMN,sret_self_vs_rest_1run,,
rtbpd003,GSR_CEN,sret_self_vs_semantic_all,,
rtbpd003,PDA,sret_self_vs_semantic_all,,
rtbpd003,RAW_DMN,sret_self_vs_semantic_all,,
rtbpd003,GSR_CEN,sret_self_vs_semantic_1run,,
rtbpd003,PDA,sret_self_vs_semantic_1run,,
rtbpd003,RAW_DMN,sret_self_vs_semantic_1run,,
rtbpd003,GSR_CEN,sret_graded_all,,
rtbpd003,PDA,sret_graded_all,,
rtbpd003,RAW_DMN,sret_graded_all,,
rtbpd003,GSR_CEN,sret_graded_1run,,
rtbpd003,PDA,sret_graded_1run,,
rtbpd003,RAW_DMN,sret_graded_1run,,
rtbpd004,GSR_CEN,no_cal,0.05577243806014289,
rtbpd004,PDA,no_cal,-0.0029495727596701715,
rtbpd004,RAW_DMN,no_cal,0.2507485798103667,
rtbpd004,GSR_CEN,feedback_1run_cal,-0.0034591456796000523,3.0
rtbpd004,PDA,feedback_1run_cal,-0.07246317136220987,3.0
rtbpd004,RAW_DMN,feedback_1run_cal,-0.31184314585440637,3.0
rtbpd004,GSR_CEN,sret_self_vs_rest_all,-0.03917131365794219,
rtbpd004,PDA,sret_self_vs_rest_all,-0.1149794174192773,
rtbpd004,RAW_DMN,sret_self_vs_rest_all,0.09877331307523957,
rtbpd004,GSR_CEN,sret_self_vs_rest_1run,-0.05980231223370578,
rtbpd004,PDA,sret_self_vs_rest_1run,-0.09273110447753473,
rtbpd004,RAW_DMN,sret_self_vs_rest_1run,0.19519183333614037,
rtbpd004,GSR_CEN,sret_self_vs_semantic_all,-0.02196199286585017,
rtbpd004,PDA,sret_self_vs_semantic_all,-0.07589013012566004,
rtbpd004,RAW_DMN,sret_self_vs_semantic_all,0.2568693564228382,
rtbpd004,GSR_CEN,sret_self_vs_semantic_1run,-0.0518054901796293,
rtbpd004,PDA,sret_self_vs_semantic_1run,-0.06693129642340719,
rtbpd004,RAW_DMN,sret_self_vs_semantic_1run,0.26941256855167905,
rtbpd004,GSR_CEN,sret_graded_all,-0.03434872135092792,
rtbpd004,PDA,sret_graded_all,-0.10486412639292089,
rtbpd004,RAW_DMN,sret_graded_all,0.14401474990850796,
rtbpd004,GSR_CEN,sret_graded_1run,-0.06250849940835493,
rtbpd004,PDA,sret_graded_1run,-0.08362384695997432,
rtbpd004,RAW_DMN,sret_graded_1run,0.20581946987281557,
