method,target,n_features,n_subjects,within_mean_r,within_p,cross_mean_r,cross_p
combined,GSR_CEN,1245,17,0.19808120187571654,0.0007999200079992001,0.1302300301906632,0.008799120087991202
combined,GSR_DMN,1245,17,0.14475956237742396,0.000999900009999,0.0045448978257065864,0.8707129287071292
combined,PDA,1245,17,0.1424907959546528,0.0103989601039896,0.0884746285712007,0.030796920307969204
combined_is,GSR_CEN,1245,17,0.20056615140877654,0.00039996000399960006,0.12055221544645936,0.0143985601439856
combined_is,GSR_DMN,1245,17,0.15773031320093364,0.00019998000199980003,-0.006438182170773395,0.8133186681331867
combined_is,PDA,1245,17,0.1617681105132736,0.007999200079992,0.07460232918170594,0.06079392060793921
dwt_stats,GSR_CEN,620,17,0.2677453139524315,0.00019998000199980003,0.17909271993279055,0.0011998800119988001
dwt_stats,GSR_DMN,620,17,0.18144028918523167,0.00019998000199980003,0.09866644271834017,0.0115988401159884
dwt_stats,PDA,620,17,0.17471058621393204,0.011998800119988001,0.15459803950185488,0.0057994200579942
dwt_stats_is,GSR_CEN,620,17,0.2673158127415958,0.00019998000199980003,0.17679029696827453,0.0011998800119988001
dwt_stats_is,GSR_DMN,620,17,0.16574343919637166,0.00039996000399960006,0.09250773605126852,0.012998700129987
dwt_stats_is,PDA,620,17,0.18527468036634795,0.0065993400659934,0.15024103051500629,0.0065993400659934
plv,GSR_CEN,625,17,0.18167945479554268,0.00039996000399960006,0.07273260684143322,0.0395960403959604
plv,GSR_DMN,625,17,0.12256902943242753,0.0005999400059994001,0.014377542172313613,0.49755024497550243
plv,PDA,625,17,0.1337722197317757,0.0015998400159984002,0.010268428880993191,0.7155284471552845
plv_is,GSR_CEN,625,17,0.19410242338381642,0.00019998000199980003,0.05455249617210093,0.14438556144385561
plv_is,GSR_DMN,625,17,0.14644246082520798,0.00039996000399960006,-0.01778469188669862,0.48735126487351266
plv_is,PDA,625,17,0.1757327600061394,0.0011998800119988001,-0.0154886464027952,0.6027397260273972
